Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,21.18218502993362,12.994187470627804,31.218885186954243,9.864583363362177,24.817185648243324,7.826706489786691,4.804394068415317,19.0364089885741,19.52705883043998,-7.5837271163019535,-5.866382627282444,1.8646263630758662,-2.596847777544987,6.091820565354816,8.220903428944277,4.82707113559126,2.6173710224342126,-23.09274226518498
Algeria,45.44629383814388,70.35329637469698,45.915739397505064,7.883300594612745,29.890105010159672,56.718612105115454,5.797086475081568,36.9365157986122,32.9790673380528,15.206234895493743,25.409176915177827,3.815311513708169,1.1461185481828058,8.554671035758368,8.495093306815685,11.979958325940503,-9.104318619060718,-14.857276207851653
Angola,599.8087380009961,100.16967583258683,139.15439549666965,14.257381926525511,53.52285817739329,92.73386701662734,-3.9322888027001306,23.742315837907313,73.92734965959083,15.093091760885661,13.3089423246096,7.817350550013152,-5.237334821935248,11.226430290658243,36.47103017486626,78.20789413813388,-1.7875133729428103,39.46034089685987
Argentina,-566.12189808279,138.38695897375777,78.7516169874343,30.770594063703243,63.11379322002148,83.9875860894676,-17.71750277745747,144.4538576057904,90.89436889678409,27.566688791619125,78.87654902769529,97.94093748187161,41.85161828207257,141.04168938196997,74.1591028599606,136.28318100785694,102.43658410257699,66.58710302578818
Australia,-300.10275002211665,185.07011534089943,40.93690279628223,21.82553846589535,27.22514053478521,31.956227119924193,-51.855549330885275,73.19087176808075,29.05052818071296,20.47595829238764,10.415921422610452,-18.7597521677753,-11.778275270406102,5.415132897174085,3.929723208476555,21.66222329436311,-35.081713717947714,-139.8832544262896
Austria,-15.814839561918506,28.888559969091908,-11.753950769716154,-3.950270949160472,-10.842585445073043,1.211114198159181,25.470020795172566,-3.379048835904901,-19.349914858660007,-2.524615904485327,0.21653434817339312,0.8478495935909258,-23.80064606966076,-26.68373244384849,-31.160496313214743,-65.12497493087066,-83.81498448310029,2875.3473051980004
Azerbaijan,296.4649706130343,43.87422701781709,7.6516901567179865,-15.898252703881166,13.455330004631545,28.055260125044548,-69.7319126655571,159.48340891621174,244.82149503292035,16.307585810416217,21.416963318591215,10.17530375073476,2.326409206789791,85.49582819180678,37.698263705938324,15.936287297517792,2.14704746576201,-20.296287885327597
Belarus,35.32012938240107,33.42235979497325,11.67859153034816,24.031008126668482,27.435885335049907,56.18310420271324,-19.574045343177435,2.4566011777317605,103.08904168856021,21.330546574962547,-36.88047154279918,-25.196902723511215,-4.113441157671757,-25.126093746169108,-83.49903513924478,-988.0757440631917,132.9092745211468,41.404797258505184
Belgium,-0.6227623651751877,-15.37280501698145,11.99474034074359,-22.426226469019184,-8.419313848732788,-6.174148636278109,45.337338780796415,-9.35743769000801,-6.2875543162642415,4.759485368328561,0.5151777997954597,-14.83135260656024,-27.733175034643505,-34.649239602962574,-63.88200915051816,-150.09456263444352,197.02716983691153,-270.1638121682694
Belize,-209.95593050764234,-234.3597078800062,458.96998062013023,37.47216748138035,19.170487988701293,147.35504446521418,-60.54069066173809,-29.601372551681813,106.37634780955908,19.568176431826064,4.748502602405593,24.97286677247465,14.296042624868399,8.785199836436451,-12.296405978627995,-3.575705072324995,26.728178980106414,-34.42334996244949
Bolivia,11.819898208984638,19.666902268091352,57.29815257203453,50.73010456727871,27.45162760805112,48.180486842031115,-15.735260455931556,37.300213548574106,59.66689885545204,18.379354891581645,19.25383559903529,23.9697301283696,-16.94204232402768,-10.021308924344028,20.1151348408208,9.296944155816364,2.2828967688684747,-32.082486282379506
Bosnia and Herzegovina,8.319293713766179,-10.750812104557607,-0.6603518001105023,11.96530671676024,-27.94709113982461,-36.13546740592885,110.81862220688244,7.4296148230920505,-43.02089696641689,27.088708839651083,-2.671265437329232,-15.895238584319038,-39.59318806194622,-53.33331482451579,-199.79355304921086,46.85513862150129,130.55930610517538,-114.95980178046577
Brazil,9.966304023008668,85.83039436595654,-0.7016400633290036,36.66129861613936,55.054622431626136,57.47011881336411,-7.5058996242840115,35.457648373274644,37.4462881062689,28.441992216343706,29.12572264183082,11.55831780046762,11.595189068419058,-6.934092818301465,9.21921341139497,39.001082215808275,16.676009994707602,11.048117042698237
Brunei Darussalam,-50.65646512417915,30.400289896557442,-190.2411029671439,103.41322259846473,109.04028563047127,-0.05999779569009651,-83.99192427520788,379.7883986343606,211.0548266124729,19.705270758195766,13.889093060801176,-38.13417952662722,-4.842414430123221,-20.719508599835017,20.97988471067355,61.4626800748257,-0.4607035948711222,-25.930314345681673
Bulgaria,-1.593084951654813,8.554327050634697,-27.074946269781847,-86.3337409314754,-388.2782137634244,437.35977912010867,-42.01897283233856,-122.26534194295293,-287.2577531784819,16.66610642893974,-103.31282646937662,669.0052171835873,-58.649785830622456,-1774.4723766559803,143.8590189433083,42.994773567544954,26.739575573930736,10.161085097888769
Canada,-24.659112214205198,-36.17193565934008,-63.81450090589967,-140.83349759078294,316.22681955468454,92.07670030278595,-144.8645517219127,-131.0461491283691,631.4443685083199,55.09087322122965,30.57899021363189,34.50344316730211,-29.72331290843959,-21.25406121099455,42.89008590083549,9.037172847876963,8.044058350623965,-172.4005105928178
