Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,12.411,26.242,37.101,47.868,63.294,91.817,108.251,128.548,148.052,183.439,258.689,278.95,300.521,318.255,342.771,356.482,384.176,411.473,432.266
Albania,192.517,201.152,222.439,232.339,254.762,282.987,342.86,373.832,364.29,376.183,376.241,394.117,442.718,441.161,429.073,455.451,471.407,493.243,536.28
Algeria,1550.646,1691.354,1891.769,2049.904,2453.014,3108.569,4191.051,4246.334,4466.94,5853.569,7058.173,6024.131,6995.769,7656.331,7297.494,7282.63,7732.07,7741.345,6902.887
Andorra,0.466,0.506,0.552,0.593,0.693,0.796,0.821,0.79,0.75,0.758,0.841,0.767,0.779,0.827,0.892,0.92,0.976,1.007,1.093
Angola,207.753,457.154,586.399,854.785,1288.353,1908.842,3498.789,2510.197,3034.026,3927.547,4548.766,4888.694,5222.016,3773.708,3648.044,4879.693,5273.865,6290.944,7690.86
Antigua and Barbuda,0.638,0.621,0.608,0.665,0.916,0.957,0.976,1.201,0.7,0.733,0.683,0.741,0.776,0.964,0.956,0.935,0.966,1.031,0.99
Argentina,76.373,92.573,111.72,142.288,190.55,265.063,353.658,430.841,554.318,760.521,971.317,1259.062,1779.109,2463.163,3416.498,4383.641,5742.987,8220.032,11567.465
Aruba,0.866,0.92,1.18,1.034,1.098,1.084,1.291,1.229,1.337,1.284,1.44,1.438,1.49,1.346,1.342,1.359,1.409,1.4,1.82
Australia,273.158,289.805,311.553,333.388,359.172,388.671,433.35,477.502,504.175,533.086,554.171,572.2,594.653,612.582,634.814,664.389,700.604,778.062,878.266
Austria,118.878,115.759,130.152,129.97,134.925,139.836,146.502,155.95,156.338,157.831,163.192,167.292,174.318,175.671,179.059,182.091,187.851,193.059,216.438
Azerbaijan,1.403,1.548,2.066,2.817,4.743,7.393,12.619,12.285,13.571,17.57,20.056,21.981,21.466,21.033,21.395,24.996,26.493,26.506,29.207
Bahrain,1.15,1.219,1.288,1.496,1.678,1.908,2.286,2.211,3.132,3.393,3.739,4.063,3.567,4.261,4.24,4.292,4.771,4.75,4.661
Barbados,2.088,2.077,2.141,2.417,2.557,2.929,3.041,2.988,3.055,2.935,3.198,3.293,3.112,3.322,3.275,3.293,3.024,2.772,3.132
Belarus,1.183,1.646,2.275,3.027,3.869,4.94,8.052,7.347,7.555,12.38,21.298,27.373,31.294,37.555,38.628,41.286,46.291,50.327,56.962
Belgium,136.364,143.545,146.388,160.792,158.639,166.871,178.599,189.454,195.654,207.927,218.102,220.47,224.069,223.851,228.451,231.561,240.313,247.898,270.41
Belize,0.606,0.643,0.608,0.631,0.673,0.753,0.757,0.783,0.815,0.86,0.846,0.969,1.061,1.226,1.239,1.254,1.231,1.309,1.254
Benin,444.714,424.54,436.105,489.596,477.938,618.147,635.13,778.455,664.1,742.164,809.781,920.832,933.036,1222.178,1080.752,1311.695,1311.428,1231.202,1718.068
Bhutan,9.944,9.994,9.872,12.982,13.482,15.708,19.719,23.931,29.62,30.749,34.725,35.641,34.855,36.887,45.488,50.021,54.737,44.777,57.989
Bolivia,18.871,19.803,22.52,25.558,27.372,33.635,42.645,43.602,43.43,58.773,67.447,81.418,98.627,101.68,93.647,100.039,103.266,101.918,96.122
Bosnia and Herzegovina,6.632,6.964,7.295,7.86,8.872,10.193,12.346,12.145,12.348,12.167,12.291,11.907,12.634,12.349,12.547,12.715,13.72,14.285,15.742
Botswana,15.71,16.276,17.383,17.632,19.737,24.823,35.15,39.49,38.417,38.668,40.736,41.73,50.564,54.411,56.275,58.393,62.351,65.408,65.843
Brazil,579.382,704.224,747.285,863.069,944.4,1023.342,1163.431,1236.573,1550.183,1644.449,1792.427,1996.478,2225.87,2307.301,2485.101,2521.878,2640.813,2761.29,3201.16
Brunei Darussalam,4.803,3.91,4.888,5.107,5.652,5.998,6.141,6.026,6.762,6.923,7.377,7.603,7.385,6.876,6.197,6.126,5.884,5.96,5.499
Bulgaria,11.949,13.103,14.26,16.002,17.423,21.026,24.369,24.714,25.877,25.923,26.874,29.175,31.202,33.437,31.203,32.888,37.73,43.165,45.559
Burkina Faso,489.168,483.81,582.37,655.175,748.349,833.588,783.656,956.439,1083.225,1163.387,1453.721,1677.336,1440.762,1424.157,1645.111,2149.995,2137.705,2201.274,2544.282
