Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,1092.118,1154.178,1185.306,1197.012,1222.917,1255.288,1270.216,1319.902,1288.869
Albania,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.339,700.125,707.14,719.688,735.657,760.044,788.943,820.653,837.786,808.617
Algeria,4463.818,4785.212,4990.977,5285.444,5374.477,5555.751,5686.875,5779.698,5988.698,6162.37,6371.891,6550.304,6799.215,7050.786,7276.412,7378.281,7466.821,7526.555,7157.754
Andorra,2.251,2.447,2.646,2.789,2.923,2.968,2.803,2.655,2.602,2.602,2.473,2.385,2.445,2.48,2.572,2.581,2.622,2.674,2.375
Angola,665.385,685.279,760.338,874.608,975.606,1112.289,1236.487,1247.104,1307.703,1353.106,1468.691,1541.458,1615.797,1631.043,1588.961,1586.577,1554.789,1543.87,1458.128
Argentina,408.812,445.423,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,721.487,706.478,726.39,707.377,693.046,624.468
Armenia,1559.952,1779.159,1965.485,2242.881,2538.896,2887.974,3088.621,2651.584,2709.916,2837.273,3039.694,3143.407,3256.776,3362.748,3369.306,3622.609,3811.884,4102.782,3799.368
Aruba,4.55,4.601,4.936,4.917,4.973,5.127,5.221,4.611,4.485,4.636,4.588,4.883,4.882,5.055,5.162,5.445,5.514,5.399,4.194
Australia,1253.771,1291.596,1344.672,1384.946,1421.038,1483.055,1521.05,1550.129,1587.927,1632.836,1694.504,1731.892,1776.166,1817.187,1866.274,1910.654,1963.572,2002.755,1959.111
Austria,288.722,291.44,299.411,306.13,316.704,328.509,333.307,320.759,326.651,336.199,338.486,338.573,340.812,344.269,351.118,359.049,368.03,373.519,348.364
Azerbaijan,8.128,8.957,9.786,12.523,16.839,21.127,23.364,25.553,26.777,26.356,26.936,28.51,29.308,29.616,28.708,28.752,29.184,29.907,28.619
Bahrain,6.076,6.459,6.91,7.377,7.854,8.506,9.037,9.266,9.668,9.86,10.228,10.782,11.251,11.53,11.941,12.453,12.716,12.991,12.35
Bangladesh,3816.724,4017.331,4269.237,4523.493,4823.37,5163.83,5474.37,5750.56,6070.97,6463.42,6884.93,7298.96,7741.36,8248.62,8835.39,9478.99,10224.38,11057.94,11445.974
Belarus,60.483,64.737,72.143,78.961,86.858,94.359,104.017,104.191,112.324,118.266,120.192,121.348,123.394,118.669,115.66,118.598,122.32,124.089,123.254
Belgium,338.927,342.445,354.674,362.91,372.17,385.855,387.581,379.748,390.626,397.245,400.181,402.019,408.365,416.701,421.98,428.814,436.615,446.0,420.758
Belize,1.837,2.008,2.102,2.148,2.246,2.272,2.335,2.342,2.42,2.458,2.518,2.54,2.653,2.73,2.725,2.783,2.84,2.895,2.41
Benin,4052.879,4192.443,4378.155,4453.16,4628.781,4905.876,5146.096,5265.449,5376.764,5536.118,5802.473,6219.754,6615.186,6732.814,6957.668,7352.276,7844.677,8383.268,8705.923
Bhutan,21.804,23.836,25.475,27.173,29.113,32.857,36.459,38.574,42.232,46.399,49.413,51.183,53.214,56.524,60.712,64.55,67.025,69.992,68.324
