Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,153.76735472000001,145.97815248,184.66914144000003,167.72709659999998,121.86611352000001,420.05383499999994,232.41412942999995,345.14049388,264.8570508,254.64960684000002,118.64769952,16.66633032,77.62568994000002,44.39717508,110.41717593,95.10061888,154.43286127999997,154.4945291,143.79911432999998
Albania,-45.09388611,-35.97420195,-28.852122670000004,-47.40073664,-36.6925312,-61.8140732,-99.03455063999999,-99.85736002999998,-76.21342483999999,-89.17108863000001,-71.4267525,-65.4316642,-77.70471336,-63.33271113000001,-57.550531680000006,-59.10760956,-55.42690361999999,-63.42877805999999,-70.16369709
Algeria,342.82122239999995,621.07266548,650.17457379,1084.8902354400002,1329.53812026,1259.5443092100002,1145.6778375000001,17.28129702,451.60771618000007,610.0746300000001,374.6034718899999,26.070209920000003,-300.04935795,-1159.29023412,-1203.6640730400002,-968.0304672,-720.17488545,-745.9568660499999,-907.3884745799999
Angola,-6.5340807,-27.6852716,21.98897496,121.54427376,199.10167248000002,180.32429267999999,100.47693362,-134.30062976000002,117.13095771,158.38105729999998,158.88299238,94.13684006000001,-41.542140870000004,-144.1842012,-48.47920011,-8.234334630000001,113.56178856000001,93.85185729999999,21.82817616
Argentina,31.339527920000002,24.930325310000004,8.722367700000001,13.05882488,15.92402259,13.060803,9.655865920000002,13.19427791,-2.5614016800000003,-7.1931138400000005,-2.5958633399999997,-15.459934220000001,-11.433541680000001,-19.79038841,-19.16674814,-35.1427482,-36.53602205,-5.68990766,5.32046736
Armenia,-97.01341488,-109.96981779000002,-43.319289399999995,-56.722460489999996,-60.8065592,-212.46824718000005,-439.35633725,-437.08710656000005,-369.14475752,-296.21130120000004,-302.81431627999996,-229.37440879000002,-252.40014,-90.28978380000001,-34.13106978,-55.099882889999996,-267.97544519999997,-301.92372738,-143.88206616
Aruba,-0.786968,-0.37705195,0.599724,0.24098217,0.63152127,0.49788297,-0.0008353599999999999,0.31977284999999994,-0.84035445,-0.46457356000000005,0.16512212,-0.58386031,-0.2340919,0.1962351,0.23523234,0.05221755,-0.029885880000000004,0.13535293,-0.5475686399999999
Australia,-47.580609450000004,-68.77748700000001,-84.52608192,-83.11060945999999,-84.11123921999999,-100.00239865000002,-73.4819255,-70.03482822,-58.14988673999999,-48.87078148,-73.81259424,-58.26084688,-54.01320806,-84.26296118999998,-61.157798979999995,-49.16112742,-42.020440799999996,12.136695300000001,50.83893045000001
Austria,6.068936439999999,4.5114912,6.21577236,6.9124153999999995,10.435396800000001,12.489912180000001,14.9654843,8.326903640000001,9.325886050000001,5.4834056900000006,5.01974738,6.57847339,8.431688880000001,5.938640250000001,9.564454320000001,4.93333326,3.3269912,7.81401748,6.61543236
Azerbaijan,-1.00210112,-2.48753804,-2.91857664,0.15791502999999998,2.96905248,5.758375119999999,7.848668520000001,5.86926857,7.61082671,6.84807948,5.7656508,4.735511,4.06296804,-0.12971807999999999,-1.03463632,1.1704939199999997,3.74839296,2.70987327,-0.15253927
