Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,20.199489266930943,18.581482814307858,18.948974863288907,17.860760818729197,18.663930062733357,18.83160198068299,21.34748157627974,21.570016158634893,18.229278546786666,17.949105196229254,17.384317803151713,18.16721195784763,20.277251926524915,19.64714527672237,17.870183543649603,17.873312071338994,17.515197552146475,17.806164940731986,20.746232214863603
Algeria,18.797966272992834,17.39876451412867,16.992326375993883,15.657538586916159,17.621857717725987,21.592971411304152,24.742975539901074,26.454265517736587,20.023930993124882,19.455082410379738,23.225131368304215,17.049757237802186,21.074538318877224,24.25114729760816,20.775343488947282,19.630605485783363,20.603351871858468,21.00924151684394,16.754686684812135
Angola,12.092397631690075,12.54563787279892,15.491130947285392,10.497704777427371,15.262216720050587,22.591596451031645,35.851399132622696,25.108470149841423,22.35214241270932,19.165994823189653,19.36623871992646,15.427634581986874,18.48110904088553,10.618273129008314,8.16245623519469,11.166965966635466,10.104215892999918,11.80412879885596,14.632115325006287
Argentina,9.61770246050543,10.587820457247153,11.914954851740205,12.283669798318531,14.187281840799217,16.561279234963987,17.128825755662213,18.62058340872698,18.19434883720631,19.2129536930128,20.175967285086497,20.79669478565221,21.90305255180321,23.267955779559838,23.867438883075877,23.42456239406758,23.14411012383701,22.493178340138623,26.560506758554432
Australia,17.261209493804078,17.193590907154874,17.25094095805016,16.94449010536329,16.993704593048157,16.87901551218907,17.720441558627893,20.064923634015326,18.872811075663492,18.40308048887432,18.430655351112758,18.406847696377003,18.879540654345888,19.038634246738603,18.27358913209336,17.82285076267318,17.88440051885864,19.548240605309562,23.81262329813771
Austria,33.591673736025754,30.94596270878782,34.81323102358442,31.807913335879174,31.119943196754285,30.49705060795393,30.598853033845362,33.456820528693115,32.34272947035627,30.99548005770627,31.35238266773698,31.73173716108641,32.521964501276194,31.26555846072106,30.420205969594416,29.809526878071868,29.40692856461456,29.098294784014122,35.85978016443207
Azerbaijan,10.736235847974601,9.270156056234784,11.32034935320047,12.07256958775134,16.76153355249472,16.407220121064807,22.94470685422231,23.383080679528124,21.076651357281285,23.60758035274874,26.11001831205904,27.496476578357225,25.488546589240517,26.269584408944464,22.57546655586264,24.195566149098358,22.611746488432804,21.24196816348442,24.023280080985415
Belarus,22.73689153957085,22.154152067471564,23.40920258512672,24.205769655184305,27.99859166396292,30.645729661136656,43.48843869575612,35.60659391992189,28.297252952541207,26.84456552404394,25.32523507185676,27.383381073962788,25.082151850116663,26.84778294510288,25.0297528114631,23.389029872352385,22.10468671209287,20.510433190768936,21.08054313864034
Belgium,27.764688385527435,28.562743424168684,27.121566408014957,29.76819946260508,26.85054319587506,26.94690292983339,28.109423766425444,30.48882643335544,30.145707917820673,31.255014233472632,32.17415086240564,31.8036041511179,31.365800430930207,30.1045971207484,29.855602916370717,28.99787058037412,29.09925426471038,28.808573504908807,34.48087669102225
Belize,18.184489067131366,17.842835026481573,14.78689792725768,13.899533167170494,13.536014431461602,14.221903459477792,12.42616095931608,13.545398218841347,13.306051205360228,13.67567650906612,12.260972951361406,15.121742029064473,16.40237373342976,19.658221102017873,17.687149169232057,17.186142367398375,14.52946816317881,15.728874842585455,24.075709218997165
Bolivia,17.324865837767188,15.468713839757042,16.085703020980667,17.207307892604902,15.479660176901078,18.59383417592152,22.055781887791774,21.11073288852366,17.66809977797296,21.578906940089997,22.598608921298077,24.5893065949747,28.549650610925426,27.095170264371376,22.470883571938284,21.575886833051488,19.568626614797626,17.922969071457644,18.237439382927718
