Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,6.942983732014589,11.927477012721974,15.06884367003777,15.698234981602093,18.302743936822075,21.477912022362833,20.917703846696387,21.169677896404476,20.80086096557964,21.936638835141864,25.028178457436262,24.977010763529176,25.40245925958485,25.946745803337762,28.028966806414502,27.731862523921397,28.935670224224026,27.999055522742307,27.936991731990602
Albania,31.534626056930943,29.679905804307854,30.15484182328891,28.8920281087292,29.19122070273336,29.309041270682982,31.72643789627974,32.679450598634894,29.386638916786662,28.923270676229258,28.229133763151715,29.19270576784763,31.729120156524914,30.757780586722365,29.139498763649595,29.371713061338994,28.801757162146473,29.153148850731984,32.6189101848636
Algeria,34.28508888299283,32.202159054128664,30.764973735993884,27.107960856916158,28.853434797725992,33.23646840130415,37.94968951990108,42.59955206773659,37.250687233124886,40.12316814037974,43.54316577830421,36.18553090780218,40.60555703887722,45.81149313760815,41.66520502894728,38.58101736578337,37.80538130185847,37.89519930684394,36.86750340481213
Andorra,24.97320471596999,24.18738049713193,23.670668953687827,23.337268791814246,25.15426497277677,27.562326869806096,29.43707422015059,29.867674858223065,28.823981552651805,29.075565784426544,33.883964544722,31.891891891891895,31.628095818107997,32.88270377733598,34.08482995796714,34.63855421686747,35.81651376146789,35.734563520227105,43.18451205057289
Angola,31.22297617169007,34.39989766279892,29.80319388728539,26.52674195742737,30.603939130050584,38.128531151031645,52.6660106726227,45.007056229841425,39.39448827270932,37.40185404318965,37.20887201992646,37.04958331198687,36.456767690885535,27.051105959008314,22.04314131519469,24.102785286635466,20.57875945299992,20.40298508285596,22.831253423006288
Argentina,21.85294976050543,22.025877247247152,23.029590921740205,24.425531038318532,26.616697210799217,29.55060313496399,30.762339015662217,34.52448015872698,33.35806672720631,34.9019102130128,36.8214050950865,37.60293258565221,38.85292829180321,41.366335539559834,41.52201707307588,41.12145631406758,38.949207283837005,37.70266710013862,42.091917308554436
Aruba,24.658314350797266,25.143481825635423,29.236868186323093,24.479166666666664,24.836009952499435,22.616315460045904,25.368441737079973,26.886895646466858,30.44171220400728,27.19186785260483,30.762657551805166,29.449109154208475,29.82385908726981,25.37707390648567,25.126380827560386,24.552845528455283,24.581297976273554,23.628691983122362,40.72499440590736
Australia,34.94896947380408,34.92371264715487,34.85794586805015,34.619370515363286,34.58591881304815,34.34357090218907,35.1009775786279,37.78500855401533,36.98046363566349,36.32855890887433,36.57942679111276,36.480737316377,36.85448424434588,37.38737226673861,37.362483432093356,36.86237412267318,36.99076608885864,39.021138945309566,44.67450895813771
Austria,52.430370256025746,49.92560261878782,53.70459009358443,51.154186755879174,50.37823346675429,49.241842677953926,49.870983993845364,54.14103400869311,52.835277140356276,50.89204814770627,51.21307503773698,51.647679911086406,52.3248065412762,51.02724904072106,50.07130712959441,49.29879088807186,48.73879156461456,48.56598049401412,57.05932442443207
Azerbaijan,23.1403595579746,21.659437526234786,24.220398593200468,22.49460991775134,25.30139763149472,26.06748704206481,31.439818621222315,34.506488399528116,31.958083127281288,33.73526362274874,36.63597837205904,37.779725688357225,36.37441962924052,38.67782272894446,35.40752999586264,35.536978589098354,33.0782100584328,32.36543909348442,40.24222216098543
