Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,91.36982018,91.42885599,88.41525725,87.97671616,88.15036638,92.24435335,93.47269024,91.92884042,89.26669732,89.27359944,88.81169648,91.05486748,92.23922297,91.80539522,92.2303768,91.10645699,90.39420528,91.34717733,92.41757416
Algeria,59.47173338,55.28645336,52.33142905,45.21180156,42.93817684,43.3323201,43.38939273,53.70456836,51.54727273,51.84486006,52.46560587,53.79345431,55.89337798,62.57082315,63.40296729,61.51317089,59.21634731,60.23201339,68.30307118
Angola,60.63842738,64.80744052,55.92555491,47.9818468,44.3886614,46.51792179,45.61059754,62.11067245,52.84009883,52.21825813,53.2522587,59.1747907,62.44240466,69.17682936,69.9064779,70.11831729,66.8360131,58.53577277,65.0062613
Antigua and Barbuda,83.61719642,85.13711634,82.81821953,86.45184649,87.10396744,89.30017351,86.31078696,73.77076367,85.71364086,88.75446833,92.06570654,92.07783292,89.23167905,82.85867827,79.47802144,75.30485122,68.44744871,64.14011904,79.43229561
Argentina,74.13367116,74.63586321,75.44613692,75.17125338,75.69960343,75.5205568,76.70809674,78.88204443,79.39783265,79.9092778,81.54883692,82.79380332,82.33295546,84.0042171,83.37646965,84.43646724,85.27527944,81.93627559,79.05108588
Armenia,102.8695128,96.99655192,96.11983131,89.13412656,85.27503946,84.75510016,84.68808716,96.8311216,98.30059378,99.91539846,96.78979332,98.72357072,97.63303903,91.02744466,89.75781648,92.34854501,91.28757964,96.00402199,91.43116657
Aruba,77.47722096,78.43673135,74.6531219,75.75757576,77.33544447,78.09305237,75.9481234,82.08269525,86.72586521,87.52647183,86.90450758,84.96825722,83.20656525,78.58220211,78.01909755,78.15718157,79.23935799,78.61603376,93.71223987
Australia,75.5582143,76.12964324,75.59865415,75.23029151,74.3164309,74.10688592,73.92295964,72.33368876,74.11122317,72.4945659,72.43793189,73.41911961,73.54344836,75.20390191,76.8645219,75.38824792,75.08717022,74.21833413,73.80287208
Austria,72.37860532,73.06301762,72.75331376,73.15600041,72.47354004,70.76053118,71.09740674,74.16577855,73.99446307,73.27630732,73.32050559,73.57880672,73.19929663,72.44452256,71.91295663,71.99839821,71.2449421,71.02310499,71.32437272
Azerbaijan,75.30556701,72.35150073,68.71233969,52.54302256,45.64285028,43.06165265,41.93067778,53.88003314,50.24396562,47.38623709,49.99698595,52.18624317,56.32348879,69.09838176,71.54051621,68.92780269,64.60707686,68.63016843,77.10480159
Bahrain,62.768771,60.2296278,63.00708267,53.79015496,47.43848262,43.71285408,45.77958685,54.88784049,54.11126591,52.9150647,53.44731848,56.32268178,56.62175058,63.18616467,62.06495687,58.58395548,57.03654413,56.09204395,59.10348041
Bangladesh,79.16106127,79.81437769,78.81208681,78.94428625,78.56338676,79.2526162,80.81058795,79.66758642,79.18997615,79.37791633,78.77623737,77.96390563,77.91005767,77.84152986,72.72974053,72.93424897,73.5488187,73.11561842,72.92239525
Barbados,88.66570095,86.25019473,89.39759036,90.22777851,85.24849016,82.17853501,84.89537731,87.29208694,90.03596945,90.14492952,91.40044621,90.65475678,91.4723565,90.4363912,91.53466612,88.98001671,86.69985347,83.96095795,91.75593074
Belarus,80.52053883,78.50965956,74.32959005,72.77318338,70.68288191,70.33426542,68.48220367,72.30949397,71.66645744,62.15388371,61.61831807,64.68616951,66.58145451,67.79910891,70.16292957,70.10880563,69.29276314,70.80666003,69.20004542
Belgium,73.67515212,73.67782811,72.43879028,72.28232963,71.98696608,71.26156332,73.39043751,75.56474852,75.17076743,75.59205868,76.24712339,76.77395133,76.04501005,74.95403183,74.55358274,74.50460072,74.91374002,74.43215096,74.39596349
Belize,95.41529698,95.03115648,92.25137432,89.54038205,83.25570009,84.20929247,83.43998882,89.21665291,88.71515628,88.4497209,87.10294262,88.52637624,87.20138803,87.44058657,91.58403353,88.95300812,89.37913046,85.87327067,90.25740509
Benin,89.48149413,89.16384396,87.65727832,90.04260559,90.78537927,88.65121586,89.75349626,89.98098066,89.67866885,89.05515899,87.66695722,85.19719143,83.14900387,86.58354441,83.50131259,83.10498517,80.86022023,78.79047735,79.45444901
