Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,33.908,29.616,37.21600000000001,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.7089999999999996,9.029000000000002,7.576,12.158000000000001,11.705,11.156999999999998
Albania,-10.178999999999998,-7.695,-5.849,-9.106,-6.656,-10.579999999999998,-15.768,-15.383,-11.321,-12.917000000000002,-10.202000000000002,-9.253,-10.797,-8.609,-7.571999999999999,-7.492,-6.753999999999999,-7.570999999999999,-8.676999999999998
Algeria,7.68,12.979,13.027,20.525999999999996,24.738,22.670999999999996,20.146000000000004,0.29899999999999993,7.541,9.9,5.8790000000000004,0.398,-4.413,-16.442,-16.542,-13.120000000000001,-9.645,-9.911,-12.677
Angola,-0.9819999999999999,-4.04,2.892,13.897,20.408,16.212,8.126,-10.769,8.956999999999999,11.705,10.818,6.107,-2.571,-8.84,-3.051,-0.519,7.303999999999999,6.079,1.4970000000000003
Argentina,7.666,5.5969999999999995,1.7980000000000003,2.473,2.791,2.1,1.492,2.167,-0.382,-1.0119999999999998,-0.36900000000000005,-2.1459999999999995,-1.628,-2.743,-2.713,-4.838,-5.165,-0.8210000000000001,0.852
Armenia,-6.219,-6.181,-2.204,-2.529,-2.3950000000000005,-7.357000000000001,-14.224999999999998,-16.484,-13.622,-10.44,-9.962,-7.297,-7.75,-2.685,-1.013,-1.521,-7.03,-7.359,-3.787
Aruba,-17.296,-8.195,12.15,4.901,12.699000000000002,9.711,-0.016,6.935,-18.736999999999995,-10.020999999999999,3.5989999999999993,-11.957,-4.795,3.8819999999999992,4.557,0.959,-0.542,2.507,-13.055999999999997
Australia,-3.795,-5.325,-6.285999999999999,-6.001,-5.919,-6.743,-4.8309999999999995,-4.518,-3.6619999999999995,-2.9930000000000003,-4.356,-3.3639999999999994,-3.041,-4.6370000000000005,-3.2770000000000006,-2.573,-2.14,0.606,2.595
Austria,2.102,1.5479999999999998,2.076,2.258,3.295,3.8019999999999996,4.49,2.596,2.855,1.6309999999999998,1.483,1.9430000000000003,2.4740000000000006,1.725,2.724,1.374,0.9040000000000001,2.0920000000000005,1.899
Azerbaijan,-12.328999999999999,-27.772,-29.824000000000005,1.261,17.632,27.255999999999997,33.593,22.969000000000005,28.423,25.983,21.405,16.609999999999996,13.863,-0.438,-3.604,4.071,12.844,9.061,-0.5329999999999999
Bahrain,-0.579,1.775,3.608,9.245000000000001,11.827999999999998,13.381000000000002,8.778,2.442,3.0,8.77,8.384,7.406,4.562,-2.422,-4.630999999999999,-4.088,-6.4399999999999995,-2.055,-9.344
