Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.46,18.467,19.283,18.481,18.039,18.192,16.462
Albania,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.118,23.032,22.79
Algeria,30.654,30.341,33.263,31.656,30.17,34.469,37.348,46.876,41.43,38.055,39.158,43.39,45.554,50.781,50.778,48.544,47.279,45.991,42.597
Angola,30.493,30.451,30.894,27.557,23.301,25.731,30.804,42.821,28.197,26.424,26.668,26.143,27.5,34.202,27.215,24.151,21.212,20.811,24.776
Argentina,9.965,12.877,17.551,18.888,18.68,20.099,19.573,16.053,17.706,18.398,16.502,17.306,17.263,17.071,17.663,18.213,16.614,14.917,17.913
Armenia,18.159,24.392,22.919,28.371,33.55,38.161,43.809,33.822,29.419,27.001,22.759,22.125,21.025,21.204,18.016,18.422,22.4,17.409,18.532
Australia,25.239,26.759,27.229,27.861,27.117,28.229,28.345,26.954,26.324,26.855,28.462,27.101,26.451,25.91,24.673,24.282,24.2,22.568,22.271
Austria,23.643,24.409,24.061,23.825,23.61,24.584,24.467,22.775,22.608,24.141,23.977,23.723,23.532,23.806,24.256,24.838,25.723,25.404,25.901
Azerbaijan,34.576,53.17,57.99,41.535,29.859,21.525,18.694,18.949,18.06,20.268,22.317,25.658,27.51,27.914,25.682,24.379,20.129,20.308,24.235
Bahrain,23.348,23.736,20.52,26.736,30.387,34.713,34.948,26.145,27.286,22.403,28.146,25.941,26.845,26.592,29.719,32.943,35.264,32.637,35.274
Bangladesh,24.42,24.735,25.417,25.971,26.144,26.178,26.202,26.206,26.247,27.421,28.262,28.39,28.578,28.887,29.653,30.51,31.235,31.57,30.468
Belarus,22.642,24.667,28.336,28.134,31.819,33.705,37.223,36.864,40.656,37.218,35.094,38.798,34.841,29.035,26.478,28.03,28.079,29.15,27.455
Belgium,20.748,20.964,22.667,23.681,23.97,24.603,25.937,22.173,23.127,24.507,23.69,22.428,23.136,23.628,24.252,24.456,25.369,24.965,24.161
Belize,18.153,17.714,15.703,18.512,17.267,15.916,23.929,15.441,10.882,13.251,12.253,12.705,15.728,19.961,17.316,14.49,10.923,14.068,21.706
Benin,14.834,15.164,15.219,12.086,12.873,16.377,13.74,14.866,15.608,16.462,15.276,18.862,19.257,20.732,20.272,23.96,26.392,25.63,25.634
Bhutan,61.997,60.668,62.427,58.826,50.439,38.016,37.36,45.511,55.727,66.485,69.418,56.417,49.219,51.123,53.155,52.544,47.646,40.352,34.709
Bolivia,16.295,13.232,11.022,14.254,13.865,15.187,17.553,16.971,17.007,20.718,17.673,19.018,21.034,20.281,21.057,22.22,20.596,19.875,15.778
Bosnia and Herzegovina,28.082,28.421,26.618,26.329,20.516,24.742,26.395,18.893,15.917,18.311,18.282,17.226,18.443,20.737,21.802,23.672,23.726,24.339,22.664
Botswana,19.792,19.073,25.229,18.329,21.693,23.075,35.468,32.63,34.702,39.118,36.0,24.879,25.253,28.443,22.068,25.006,25.903,30.876,32.794
Brazil,17.449,16.857,17.913,17.205,17.816,19.819,21.619,18.796,21.801,21.826,21.417,21.694,20.548,17.412,14.97,14.626,15.095,15.517,15.931
Brunei Darussalam,30.12,21.316,19.1,16.115,15.172,19.754,20.641,26.22,23.69,26.024,32.882,39.593,27.442,35.247,34.62,34.805,41.067,38.678,40.597
Bulgaria,20.529,22.074,23.433,27.74,32.056,33.627,36.953,28.538,22.521,21.359,21.886,21.009,21.507,20.993,18.954,19.806,21.214,20.998,20.34
Burkina Faso,13.452,15.459,15.518,17.564,16.125,18.251,20.732,19.99,21.99,22.124,24.653,23.71,19.262,19.43,20.824,24.024,26.127,26.659,23.662
Cabo Verde,32.741,28.329,35.674,35.399,34.648,49.79,48.535,43.789,47.647,47.509,37.194,31.63,37.004,38.553,36.979,38.242,36.509,37.552,36.106
Cambodia,20.021,22.069,17.826,20.235,22.517,21.197,18.617,21.36,17.368,17.098,18.511,20.009,22.095,22.453,22.706,22.892,23.448,24.233,25.452
Cameroon,19.441,18.095,18.868,18.671,17.776,18.378,19.754,18.56,18.228,18.732,18.001,18.652,19.728,18.25,19.818,19.445,19.538,18.935,17.743
Canada,19.739,20.467,21.383,22.632,23.595,23.908,24.072,21.959,23.482,24.151,24.868,24.908,24.871,23.822,22.761,23.55,23.377,23.069,22.257
Chile,27.821,26.435,24.531,26.279,24.81,24.755,30.978,25.35,26.803,28.247,30.009,27.659,25.232,25.616,23.75,22.634,24.183,25.042,21.598
China,36.27,39.7,41.973,40.273,39.881,40.421,42.425,45.469,46.968,47.029,46.186,46.136,45.612,43.033,42.655,43.172,43.961,43.068,42.857
Colombia,18.352,19.874,20.681,21.656,22.939,23.454,23.721,21.988,21.889,22.996,22.105,22.183,24.003,23.774,23.167,21.599,21.195,21.381,19.244
Costa Rica,19.886,18.965,18.93,18.964,21.086,23.287,24.611,18.453,19.834,20.048,19.854,19.59,19.223,18.854,18.889,18.065,18.37,16.064,15.804
Croatia,24.485,27.886,26.666,26.764,28.944,28.844,30.516,24.969,20.94,19.748,18.62,19.163,18.767,20.355,20.734,21.694,23.178,22.788,23.909
Cyprus,20.268,19.523,21.965,22.342,24.504,24.245,28.803,22.771,23.912,18.799,16.033,12.853,13.45,13.18,17.364,20.786,19.271,20.243,19.016
Czech Republic,30.617,29.694,30.025,29.551,30.383,32.394,31.331,26.801,27.36,27.191,26.36,25.013,26.01,27.983,26.024,26.372,27.202,27.613,25.92
Democratic Republic of the Congo,5.247,9.989,10.124,6.393,6.941,6.5,5.355,11.738,28.698,21.189,12.585,15.534,21.581,18.872,12.317,12.087,11.684,12.626,9.242
Denmark,21.343,20.922,21.691,22.206,24.298,25.278,23.984,19.088,18.076,19.127,19.466,19.691,20.091,20.631,21.775,22.053,22.599,21.964,22.926
Dominican Republic,26.957,19.409,20.627,24.773,26.927,28.351,30.024,23.573,26.38,25.026,24.296,22.724,23.113,23.442,22.972,22.472,25.796,26.005,25.383
Ecuador,23.702,19.59,20.199,21.637,22.46,22.705,26.388,25.639,28.037,28.142,27.796,28.467,28.314,26.87,24.979,26.28,26.748,25.906,22.046
Egypt,19.908,19.32,19.194,21.205,23.104,27.51,28.487,21.895,21.298,17.084,16.027,14.212,13.643,14.289,15.04,15.274,16.656,17.993,13.742
El Salvador,17.065,18.429,18.141,18.605,20.075,20.8,20.173,14.055,16.672,17.79,17.71,17.019,16.397,16.017,15.968,16.677,18.372,16.879,17.906
Equatorial Guinea,55.424,43.328,34.941,28.897,26.501,29.586,27.542,39.393,38.056,32.049,41.148,30.308,28.709,24.701,16.699,14.032,12.501,7.711,5.31
Estonia,32.941,35.198,34.655,33.356,39.832,40.008,31.634,21.01,21.692,25.679,29.361,27.198,27.099,25.001,25.119,26.382,26.913,26.083,30.244
Eswatini,21.411,19.289,19.371,17.352,16.474,16.039,15.698,15.381,14.482,12.896,11.825,12.221,12.595,12.515,12.84,12.831,13.249,13.57,12.816
Ethiopia,22.838,21.006,25.05,22.384,23.914,20.781,21.244,24.677,25.524,32.108,37.098,34.081,37.982,39.417,37.349,38.444,34.163,35.264,30.752
Fiji,19.85,22.143,19.269,21.04,18.649,15.613,23.423,19.019,18.738,20.999,17.272,27.634,19.169,21.109,19.256,19.551,20.358,19.942,19.1
Finland,22.009,22.183,22.828,24.558,23.958,25.516,25.212,21.436,22.048,24.008,23.355,22.301,21.894,21.686,23.239,23.977,25.227,24.052,24.484
France,21.316,21.186,21.89,22.453,23.238,24.165,24.13,21.333,21.946,23.221,22.627,22.287,22.71,22.712,22.609,23.436,23.857,24.393,23.663
Gabon,31.94,28.661,26.516,24.958,26.607,26.258,22.82,29.091,26.105,23.832,29.115,33.26,35.926,34.799,35.466,31.774,29.116,32.006,31.635
Georgia,26.019,32.049,32.651,34.266,31.575,32.802,26.561,13.329,20.524,22.204,25.876,20.991,25.406,26.295,30.152,27.29,28.123,25.299,23.857
Germany,20.776,20.437,19.839,19.485,20.571,21.38,21.446,18.556,20.066,21.635,19.716,20.054,20.37,19.743,19.967,20.962,21.905,22.141,21.149
Greece,19.076,18.196,20.473,16.119,15.498,21.424,20.52,26.401,17.986,14.031,12.098,11.944,11.893,12.077,12.837,12.022,13.15,12.606,14.998
Guatemala,20.661,20.484,21.082,20.066,21.085,21.281,16.677,13.53,14.47,16.038,15.917,15.843,15.071,14.828,13.862,13.596,13.797,14.311,12.934
Guyana,9.46,9.371,10.313,15.568,16.163,16.019,14.7,12.845,13.087,15.244,13.549,12.123,12.476,10.347,11.407,13.09,12.895,13.4,9.361
Haiti,8.299,12.473,10.781,11.747,12.979,12.028,13.053,12.607,24.989,19.075,17.509,17.504,16.521,14.052,16.935,20.212,18.71,20.322,17.703
Honduras,24.258,25.281,29.666,27.623,28.342,33.665,36.066,20.599,21.88,26.0,24.564,21.76,22.184,25.118,23.377,24.821,26.572,22.731,18.721
Hong Kong SAR,23.181,22.38,22.357,21.06,22.285,21.396,21.041,21.847,23.89,24.143,25.22,24.03,23.822,21.541,21.507,22.069,21.995,18.191,18.952
Hungary,25.495,24.5,26.774,25.214,25.694,24.181,24.51,20.148,20.367,20.174,19.181,20.81,23.276,23.076,21.401,22.921,26.647,28.307,27.274
Iceland,19.81,21.292,24.845,28.871,36.072,29.575,26.021,15.323,13.909,15.583,16.016,15.47,17.224,19.404,21.084,21.741,22.275,21.096,21.356
India,24.75,26.831,32.818,34.65,35.659,38.114,34.305,36.48,36.502,39.59,38.348,34.024,34.268,32.117,30.172,30.982,32.343,30.221,27.896
Indonesia,24.215,28.089,27.358,28.579,28.986,28.736,32.998,31.173,32.88,32.984,35.072,33.831,34.6,34.063,33.859,33.711,34.571,33.78,32.355
Ireland,24.082,25.744,27.218,30.31,31.893,29.248,24.667,20.304,17.28,17.165,20.187,18.776,22.233,25.781,37.573,34.666,28.552,54.698,40.882
Islamic Republic of Iran,43.166,48.138,47.263,40.281,38.648,39.954,41.813,40.417,38.039,35.879,38.005,36.9,39.521,32.991,31.245,34.295,33.819,40.388,42.397
Israel,20.877,19.648,19.869,20.684,20.666,21.507,20.394,18.515,18.919,21.083,21.375,20.134,20.541,19.829,20.973,21.123,21.907,21.313,22.117
Italy,21.571,21.179,21.262,21.169,21.958,22.246,21.779,19.509,20.58,20.468,17.789,16.892,16.959,17.107,17.561,18.054,18.527,18.24,17.704
Jamaica,27.338,26.247,26.467,26.942,28.423,26.571,24.351,21.056,20.207,21.436,19.933,21.26,22.474,21.352,21.288,22.532,23.312,24.269,19.177
Japan,25.899,25.661,25.638,26.052,26.078,25.769,25.87,22.603,22.59,23.541,24.005,24.418,25.036,25.165,24.836,25.215,25.595,25.817,25.415
Jordan,24.675,24.748,33.783,41.568,35.022,37.023,36.049,32.539,35.038,31.748,31.032,26.6,25.808,24.835,23.407,19.435,18.932,18.756,18.911
Kazakhstan,27.288,25.704,26.311,30.97,33.901,35.527,27.506,29.415,25.374,22.998,25.23,24.57,25.79,27.908,27.828,26.352,25.258,27.628,28.765
Kenya,8.688,9.288,10.219,12.928,6.691,13.771,12.018,19.001,21.264,21.887,22.192,22.414,24.955,22.103,19.305,21.041,20.157,19.479,20.081
