Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,-44.6218327978826,-46.090042561440455,-44.820717474536345,-50.9225897067339,-52.45502484272273,-62.56851410193107,-64.42685379546985,-62.61377759794164,-61.44674760498457,-68.68509744798786,-61.625533128626245,-60.733509506649376,-63.28665117108834,-59.55958936173755,-59.81512333368124,-60.06925206338938,-58.64821548672029,-59.522277066306074,-53.02803815720076
Algeria,9.536248575924645,12.042337707030338,8.453532305978625,12.762848299656557,14.137521142995801,5.200568544435065,-7.782707774461799,-26.634563689478064,-24.474018583205385,-29.124506713558773,-35.64796972888193,-44.05545841397321,-50.411628045971455,-63.40059705266463,-63.501856593622705,-60.997996015702384,-62.34946014974001,-56.34537532353377,-54.82579358002981
Angola,8.868249199999994,-41.827383097450266,-58.58525433789007,-85.76997008779999,-70.97657411917459,-112.82584302604835,-190.19768831863243,-226.07411712102464,-189.2327100976764,-244.41989765133792,-242.5476384319841,-257.9708942188863,-262.36600603686134,-253.639402099771,-234.8177138824004,-267.70978963794556,-380.1699742353546,-299.4998450723604,-399.8176809297684
Argentina,16.95271644234279,12.047298454772633,7.002592739999998,4.155004266130409,1.1852976263236272,-3.7045620798231793,-10.521497549400962,-10.149900137288515,-20.81022031005934,-32.92207933768034,-37.3414821187233,-53.78337039012412,-76.88410995521413,-86.52071198357851,-145.4817046197582,-193.68820042867253,-325.8649861459766,-439.0358194190595,-579.9917231342231
Armenia,-12.47768568102373,-14.780469214830719,-15.375277823716765,-15.513342680000003,-18.53457726998438,-24.105731021207173,-32.26509636168696,-35.806402630200296,-37.57597904477513,-39.94258742404181,-40.371386469926954,-42.95274728656989,-41.44762805527795,-33.20353227906647,-29.923799315163784,-37.029197554888455,-44.393889452468166,-45.988533504416864,-34.873634273460226
Aruba,11.561102907630776,6.995039346415982,9.258749863865482,1.9492322564429347,-3.3662528578182185,-4.968252450378401,-6.1960500891342605,-11.078565180594238,-13.466945064568572,-16.522307231082852,-12.14007748033783,-8.785582630000004,-8.320757383453518,-3.7269671648368217,-1.0376006104126434,0.12303373909091202,-3.788099115132379,-7.340299775741784,-20.946566358855527
Australia,7.817420390840402,5.476492052040106,3.973623431586304,3.669832001649651,3.9954936772453244,3.533641251259429,1.7273580884495134,4.483403166330511,2.0104866049546817,3.1007778670426664,2.1280295892227103,0.7050364238302741,1.6784720301069085,0.6329345137089696,-0.3474842426943136,1.6850634165228258,1.1194500048466502,2.5897091351695276,3.858455822337884
Austria,12.628071227732555,11.301791395044262,11.313519281696761,10.928001512609024,10.887059072728098,10.918486881628391,10.216828902648007,7.621477702745673,8.000877820957408,6.761215227009991,5.793890470477387,5.008657280326546,4.396920557326044,3.7508057300000037,2.9328450732678544,1.7018091369865322,0.5211406953768861,0.06267581600887491,-1.4445099869485616
Azerbaijan,5.433309316161418,-10.293610095943961,-14.595975841849576,10.040327409999987,23.356556003521572,29.853044008736205,25.462608198153564,19.439856579229055,21.506797942044667,8.840472704557607,1.5792396429106021,-5.174486111426862,-9.50170535786407,-26.11628410642085,-45.44678525781595,-53.84356442001044,-49.042300424732744,-51.63190992459493,-56.67269348772881
Bahrain,37.70596261543122,35.94250901714816,34.15052668192184,31.464261127500315,29.299866373065946,23.86926478751235,14.858967446328435,22.391626188961794,18.602240960000007,17.40548454685598,7.484616298558862,6.003659653802641,7.3246385709261315,10.379792123746732,7.80043366704046,3.6893757104890437,-0.7303274779993684,3.5252201112323855,1.7872939070283338
Bangladesh,-1.3407434321783525,-2.6550869484121926,-3.0710143968991295,-4.627438216780157,-5.404988277900988,-7.436690016288082,-11.007823706081261,-11.447171981743368,-12.586438842746182,-19.042080239291618,-22.674357050142188,-24.41553945630636,-25.313291932971577,-28.14375508698251,-20.230385236988052,-22.990478170132157,-30.99455090485727,-29.402748792738503,-27.439491186736802
Belarus,60.61653123446258,61.12724555049972,62.56635546792355,54.76324404753943,54.00015263422069,53.786690726049024,52.08118041089562,40.72683055389257,41.577114998168874,57.80929169161527,44.92045658871556,24.352282807053353,18.560872463978402,14.139544925482053,11.036927957495935,7.425136345795372,1.516354270000005,-6.301054821856946,-9.347433395281197
Belgium,18.22132189141451,16.746035749000924,15.661969146380336,14.270903504043572,13.23511335806743,12.253503094958662,8.089482713048227,8.09526825086432,6.919776718806431,4.228568693695188,2.874837424593644,2.582975480005681,1.8556775911088144,1.4178344756706394,-0.30846815764429397,-2.0711770531314113,-4.70664862821807,-5.222941730679833,-5.34682763357465
Belize,-14.582316038982038,-11.85690279331673,-8.318248727978117,-10.247003505684338,-5.380692465057877,-8.092320723371483,-18.53543601717344,-11.923964770875315,-8.157404925818179,-14.107101784483314,-13.086860436926138,-17.563837697716547,-20.014356383271775,-25.22826334319781,-28.307406664733932,-22.40024983315127,-19.235197284137325,-20.446215332528496,-29.496246480327798
