Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,47.57945205,46.17317459,44.82962655,47.85935563,49.05748251,54.95421469,52.14933338,49.85416579,48.563955,51.97703179,47.57271286,46.95739871,47.19484414,44.53361519,45.83196365,46.62446595,45.23619092,44.97492449,37.24776794
Algeria,25.62963474,23.87594361,25.64819794,24.07340587,21.91932588,24.8699642,28.71117516,35.95267869,31.42211391,28.68618309,28.51443139,30.40092579,31.9266588,36.52335059,35.05318267,32.68917073,32.20434095,29.1282528,27.84081637
Angola,48.2167467,49.57989074,45.19958873,41.06469436,31.15729583,40.15428452,48.88967965,63.68884384,42.58051942,39.31255882,35.85996671,36.06484697,34.63789332,33.13391814,25.24567262,23.25272022,25.5417235,17.03878307,18.94766828
Antigua and Barbuda,72.21113046,77.39580585,79.83022386,82.72266474,87.6254523,88.03340434,86.14588599,71.28922445,73.25833712,69.87843548,72.51239251,75.61968833,73.95355454,63.75049528,64.26247428,66.12956599,70.53929729,68.52545025,47.82072351
Argentina,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.51850312,13.55632492
Armenia,46.15239348,49.56836971,44.87989017,42.82654063,38.88415655,38.7856901,40.27659839,42.603335,44.89456066,46.9123854,48.39986448,49.20156302,47.21848531,41.95668313,42.3336876,48.98633088,53.08021299,54.76335277,39.72731873
Aruba,68.65034169,70.07379065,67.76511397,76.98863636,76.45329111,74.90089714,73.59009629,74.64449792,75.25045537,84.68869123,83.55052339,85.33688306,84.60768615,72.9826546,70.41752481,71.25564589,74.63363573,74.64978903,72.7232043
Australia,20.7462092,21.16011015,19.86309858,20.9556895,21.73088711,21.8514034,22.71815927,22.74742397,20.73948197,20.4123992,21.67276524,21.28980106,21.37595688,21.55633878,21.54789883,20.71443756,21.51251312,21.67531245,20.05567262
Austria,41.6287818,41.8169677,43.92513072,45.41405348,47.24664234,48.17238464,48.82482212,41.85481441,47.75763591,51.15411778,51.17850123,50.62512079,50.1169562,49.33825483,48.57568463,50.88769179,52.44102241,52.03602076,48.56393495
Azerbaijan,50.05030928,65.54537186,72.71810743,52.9007786,38.75825501,28.51289646,23.46675902,23.108296,20.68126693,24.08106448,25.28838935,26.26001169,26.20966854,34.80673042,43.64966934,41.85445095,37.58028267,36.76751791,36.39431178
Bahrain,58.62506792,56.02851016,62.13216408,64.4194769,62.46523681,58.10552134,63.30516277,49.49813154,50.93507678,74.73659889,83.73912577,87.06775078,79.51708569,71.82416506,65.41972798,67.30698583,71.55353264,65.21487421,67.09261495
Bangladesh,16.55741179,16.2267362,15.7117252,20.00409297,21.75846087,22.94704781,24.96205555,23.15266332,21.77872999,27.49877488,27.94933388,26.75852861,25.5244202,24.74932252,17.41294565,17.17998378,19.83984378,18.48329716,15.82865882
Barbados,44.48575567,47.13350989,50.35999419,52.8014138,50.54830749,47.4143446,50.85764061,45.79952862,47.99744841,48.6602886,47.93826422,51.27266814,49.74826865,47.29140743,42.1102645,40.69336902,39.93892265,38.11437565,36.65707013
Belarus,67.37454234,68.98547237,74.25017703,59.08654297,64.23379212,67.21082526,68.66172333,59.759183,64.54508764,79.50889355,74.30836203,61.48238713,55.71042031,57.90405963,62.69997578,66.57815452,68.93869099,65.75582211,57.92173443
Belgium,65.25385179,63.67904433,66.0121279,70.24622175,72.76251224,74.16664217,80.20782782,66.57203682,74.1476086,80.79636075,80.34153972,78.52649664,78.98220685,76.38726436,78.23541051,82.1434261,83.26603153,81.51894377,78.63541271
Belize,66.14874222,65.9111473,58.52577709,62.85011443,61.97424355,61.57293061,70.4796574,56.92086063,58.19477928,64.0636679,63.45059354,66.48881795,64.74263878,65.85864687,60.8621731,58.17096357,57.50834449,59.59387532,55.52361349
Benin,24.04181176,22.97193331,21.38942677,20.61229121,21.716773,27.07093104,25.634639,24.77466222,28.35881188,26.36737731,26.83999991,31.62962651,33.83743382,32.03586197,31.38014027,34.27100218,34.52096387,34.05080512,24.96076295
Bhutan,50.86304433,52.34165189,64.00042749,66.2218917,60.7159377,58.65804724,59.40006777,63.75388329,72.44380369,72.1959181,64.53948951,63.76908105,58.87366371,63.44530544,53.79191055,51.12354999,53.36930561,48.18954167,46.45185119
Bolivia,27.71580529,26.36710199,26.32587557,32.09379843,32.76613416,34.26625469,37.9604649,32.90444909,34.32417011,38.38869357,37.78256454,37.138428,41.97138157,37.06454916,31.91302896,31.80050839,31.12116955,31.43004444,25.23067283
Bosnia and Herzegovina,59.60146733,59.98147203,59.27644123,60.03903993,53.57160257,56.45030344,59.31481092,48.73811544,51.27267378,55.8003759,55.79456742,54.18819449,56.56316058,53.80931674,52.96648396,57.08703242,57.2875422,55.22430569,48.4813104
Botswana,39.67834728,37.00718468,41.38403511,35.58179851,34.08011528,40.58855625,51.04194313,51.88507096,51.26433138,53.59504327,61.40415121,61.03094241,57.52822774,59.59849992,45.85331794,39.04453261,43.52764493,46.08761458,46.46697681
Brazil,13.38776713,12.95960102,13.13249097,11.84296595,11.66738358,11.96493627,13.72356891,11.25460447,11.90659334,12.3518925,13.23673454,14.04372668,13.673463,14.05343452,12.06700304,11.8007665,14.24120388,14.76733868,16.09538367
Brunei Darussalam,41.62613879,35.96921573,31.79052372,27.28916946,25.2164514,27.8977165,27.61460739,35.7894602,27.96147673,30.03046818,35.47975532,42.8950042,34.24388837,37.68319271,37.74136081,35.60350735,41.96404349,50.56361782,52.93489227
Bulgaria,41.62230729,44.59693706,52.1072539,57.18464668,64.06958412,71.2219405,72.2673442,50.47379621,53.30394798,58.65334107,63.6398222,65.15096334,65.68640319,62.90085503,58.96334363,62.68200137,63.155915,60.70608677,53.8542381
Burundi,16.98802523,20.99489805,24.62336989,28.9,35.1,31.99999864,36.69999932,29.20000329,29.80000376,34.20000255,34.00927787,37.50882302,34.29900461,16.42100985,16.65920307,16.21371877,20.91404815,23.8541694,22.22401086
Cabo Verde,68.54474558,67.40402964,69.56299692,66.5664794,72.68449197,66.20682867,63.08841119,56.95978354,61.76802794,64.32991022,59.84533757,54.84664594,60.68530006,59.15864667,59.96217272,67.38035354,67.9984228,65.25786357,59.84175454
Cambodia,64.27080295,66.56034186,70.90552236,72.74722281,76.02120838,72.94217882,67.77700868,55.91771187,59.52093544,59.50108761,62.70767297,67.65855087,67.00875814,66.14564324,65.66850405,64.10581574,63.30288532,62.46522725,62.4611925
Cameroon,25.49556436,20.80628113,21.29016872,22.75222495,22.92534012,26.23704905,29.91605169,22.59369207,24.8696951,27.29230098,26.15928888,26.03542768,27.22241377,24.5509972,21.68865277,20.84792302,21.85134941,23.5284225,18.22610209
Canada,35.64837348,32.97410942,32.86464868,32.90242569,32.64970526,32.05386458,32.62860281,29.95855751,31.04073957,31.82034685,32.24252342,31.89913623,32.64208628,34.3149411,33.86111211,33.6466507,34.16753441,33.50382946,31.41908242
