Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,0.19220548670410054,-0.917583221336919,0.04788077087020781,0.3800911953231285,1.596074210619392,0.6650938759361544,-0.5937852301752677,-0.7882029481254165,0.1392803564683902,-0.06820233526025277,0.7588665996784023,0.3197802204502658,0.045510376352442705,0.14128932964234053,-0.5472296123160021,-0.1639982594076983,0.3288533320848259,0.218209652397789
Armenia,-1.9018092783088854,-0.18480539202709778,-2.248102133396923,-1.0502827970321214,-0.1334869695875156,0.06285338531458251,3.2013038633301676,0.614753532127299,0.5694256636762063,-0.7355482833455902,0.20789200844010836,-0.46463586179780236,-2.6002119759723925,-0.564772911783006,1.3706786177953205,0.013318785320088011,1.282430235194429,-2.706150548149214
Australia,-0.006366930092045031,-0.05252552836933111,-0.059361814744855135,-0.08370184040792195,-0.05466472199570305,-0.06238121952131026,-0.1351696350686744,0.02821964751836914,-0.10294544576851905,-0.05511313898082504,0.007725110907566002,-0.024922098917556035,0.01983312231444323,-0.0016222714211755473,-0.09422204790700883,-0.05058248198446602,-0.0820120728308833,-0.08076399139376056
Austria,0.03756883380768361,-0.06869787568681218,-0.051241498182804435,-0.10592555757606359,-0.16555641991871006,-0.04323157292572333,0.18438637364309685,-0.012903653559718009,-0.03592177328384771,-0.018438091315029936,-0.01421790055166916,-0.08082241096432963,-0.1449695160513249,-0.12499819424947756,-0.022823887668720566,-0.11401582903878893,-0.02322469827713558,-0.18818245618003715
Azerbaijan,-0.42788877351869736,-0.566540257379712,-1.6984052478257654,-0.6484935389853854,-0.48370591113555683,-0.04615150392629541,0.9841181306020692,-0.4176821544723959,-0.28518366384605454,0.18466551770288842,0.20418208501699908,0.3162637519273055,1.115017615506896,0.1391440530688035,-0.17850406336927627,-0.40031846052569886,0.2911857831692508,0.28702430139941804
Bangladesh,-0.005544194593440688,-0.016527495390388336,-0.007017127033538073,-0.011643541051641337,-0.0009288373049972654,0.0061509970617233956,-0.01307565497491614,-0.008825415300245165,-0.0046052700731437635,-0.009313634072548593,-0.011436260524948616,-0.007197316315032176,-0.006083508876620236,-0.04031049005033177,-0.0042091865078066615,-0.00017590371728143372,-0.008710050309707007,-0.0036441945449061097
Belarus,-0.1979710947451334,-0.3081818133271925,-0.1418312812484368,-0.015903319458620224,0.06349110295951732,0.036288404772926164,0.4629661122185684,-0.048232498381980626,-0.7177890177514286,-0.05776365064507605,0.3442592698772877,0.16518103158712627,-1.9464603250085588e-05,0.16294704439739505,-0.006291842392499802,-0.08215322570696504,0.054948128686863384,-0.17213422743533702
Belgium,-0.05530644588797973,-0.11058220620849557,-0.02822942890761837,-0.043045401655474436,-0.07131416243783217,0.06506315581334476,0.022281260009622272,-0.032324654482247084,-0.059942560982715776,0.00449109135922221,0.020349118590595516,-0.0762547641983291,-0.06511218359591986,-0.03408055040315183,-0.00046948333915253215,0.007815287061317733,-0.055573808954440196,-0.1736020015347126
Belize,-9.44680096569465,-15.279021858601425,-19.38622632782193,-27.147875895769772,-6.073204914089416,-9.946015342019535,10.997996516622692,-6.448858379572101,-6.3407752649105475,-8.926135799915244,-1.757548501633778,-8.188267072582619,-5.454535857075854,2.8833975846848716,-11.90826466194838,-6.823515281951018,-12.574410072051421,11.920180557173978
Brunei Darussalam,3.6335100647840477,-4.2700890079365195,-11.219518238780559,-8.293630367764337,0.2257044909292958,-7.32945392216218,16.93848086526318,-26.08670756004353,-5.513210344201845,1.977320518280436,3.385030494101265,0.3715384287573684,9.782604328716921,2.696115000349245,-3.1018329247113954,-3.40596080669264,2.058445022624433,7.3627259881209
Bulgaria,0.015247666275326921,0.09132513460134994,0.10058296479807893,-0.197562958247552,0.2564885209626926,-0.3391699276253881,-0.30194946057678784,0.22448452520072237,-0.00102759865635349,0.45668834317670814,-0.38402263292137206,0.09020301772792472,-0.042519097549005735,-0.14315380136021894,0.027330868804112285,-0.006592047933130729,-0.04918765267875003,-0.011483329706884149
Canada,-0.02727459940323551,-0.046463783788293966,-0.028941197756044534,-0.013374692014859857,-0.0068868193132571864,-0.025601109521778742,0.07399861812571551,-0.035953523157210565,-0.04858315441739758,-0.013864491959010516,-0.01871815213392214,-0.020806825887849545,0.04377400899194872,0.0019236044861095092,-0.03361341541043528,-0.025866597108168188,-0.024457106791359262,-0.034004534481937077
