Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,11.051305123815087,9.710822464888615,11.086032542812116,7.689954556673902,7.932066832574205,8.682770925735129,16.18979572611663,23.970351573508196,13.138678627675668,13.85916469350975,13.909082848506111,22.41137910461091,24.41949170964738,19.546313024068446,5.730233674927615,6.721768421230218,5.479734909663364,9.398070301297183,36.317741965908056
Australia,-0.7002092890452678,-1.0824343787881683,-1.254974123653175,-1.5055519030771163,-1.6238561706267882,-1.5579670209872472,-0.17853830417027716,1.8240586188401788,2.2895844785198687,2.0518098238673947,1.4257285370834762,0.9870382945766291,1.083747928838446,1.0030786345374259,0.776760361156329,0.30671453065350784,-0.017286524934879366,2.4209000826809066,5.56750146392767
Austria,-0.2622914826548908,-0.4010218250405754,0.6262556210867651,-0.04515542942848594,-0.015229725387748028,-0.3911479471688476,-0.34434529304022155,0.9515308862793922,0.6701570678749595,0.030338686950554417,-0.11349313393552884,-0.21161685361398674,0.08663191621543453,-0.582618771726537,-0.39056619442076923,-0.6868059124618862,-1.1209822038222612,-1.3378738069236578,2.452648242735502
Azerbaijan,-0.8893900888193975,-0.8118307767133421,-0.8898591555294807,-1.040724517580206,-1.127746842301601,-1.4189113378062848,-2.5038902206888,-1.6269530625469784,-2.2385765384386254,-2.5968845829015033,-2.2520806663741153,-2.1429271276731128,-2.1843090436143022,-1.5633665524502574,-2.0331057674134247,-2.352587092997333,-3.192147708158303,-3.4857007903288686,-2.0657582179411222
Bahrain,-0.42065135568314715,-0.5492570026927007,-0.7312615036600955,-1.0107313751295526,-1.055709670231729,-1.0856187796555088,-1.4418904555686403,-0.5216542798269008,-0.24210526315789505,-0.6362752170555137,-0.5572252882419788,-0.2680417674635227,-0.7857739050149493,0.5458182715986857,0.4688579452909396,0.1754351190589878,-0.0020358779138798244,-0.2407421912039045,0.527073138531948
Belarus,-0.023377112226375646,-0.03246719034985195,-0.03416088616797676,-0.03859426665371639,-0.028836508004482883,-0.024421835555791124,0.024438423795932862,-0.028323250075160344,-0.07657676536707955,-0.16879064717716047,-0.47646536148447566,-0.482905138609688,-0.6608576898576559,-0.47583834491068133,-0.654599800139618,-0.8540583896478801,-1.2337002540220157,-1.2157934779227808,-0.75798728413183
Belgium,-0.7946933690034628,-0.31497668981992677,-0.7687780757228739,-0.048449528795343366,-0.9477754077288173,-0.912173580468899,-0.5463241246788954,0.8375541499760711,0.4397366735951489,0.5333359701197821,0.5406871368766272,0.12661137016672308,0.11446057933884879,-0.10492364212671812,-0.12070119219258091,-0.7697159876854285,-0.7139472732086396,-0.2758436568379401,2.510020392280695
Belize,-0.5057365393650997,-0.1687099186895542,-0.5460396585722367,-0.65111338421591,-0.8309388511993832,-1.1059900372132458,-1.3017807196813818,-0.8610019925989179,-0.9421384939171502,-1.0761834972109756,-1.1900486584567656,-1.105669291338583,-1.0605096243596626,-0.6565655359133624,-0.7897985534682777,-0.9186907994413804,-1.1734464576403139,-1.010708117443869,-0.6308034343774447
Bhutan,0.7745444649004956,3.7624338015196885,-2.094079824284754,2.760122286262666,-1.2371992813233041,-1.9215791167446872,0.7585633404507319,-0.7261196243973169,-3.600698632498484,2.1612765600791133,1.2415236872093582,5.2685834372616736,-6.294814898335028,-1.2471649024857858,2.5219187068760043,7.691178007059298,1.1313362107244944,1.2471462088892196,1.9813180900006997
Botswana,0.47941240930769574,-0.2961826861591221,-0.7021208170735247,-3.423644368529771,-4.784343096764503,-2.539524861062648,2.364217894894845,4.726128331952437,2.9428759273621004,-0.6914467467275236,-1.2510894706408064,-4.312895067631582,-3.443560045041177,2.377034318220609,-1.5453703703703745,-0.10049754260852395,2.935886428453198,5.594372280789829,7.305059592252058
