Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,31.534626056930943,29.679905804307854,30.1548418232889,28.8920281087292,29.191220702733357,29.309041270682982,31.726437896279734,32.679450598634894,29.386638916786662,28.92327067622925,28.22913376315172,29.19270576784763,31.729120156524914,30.757780586722365,29.139498763649595,29.371713061338994,28.801757162146473,29.153148850731984,32.6189101848636
Australia,34.94896947380408,34.92371264715487,34.85794586805015,34.61937051536329,34.58591881304815,34.34357090218907,35.1009775786279,37.78500855401532,36.98046363566349,36.32855890887433,36.57942679111276,36.480737316377,36.85448424434588,37.38737226673861,37.36248343209336,36.86237412267318,36.99076608885864,39.021138945309566,44.6745089581377
Austria,52.430370256025746,49.92560261878782,53.70459009358443,51.154186755879174,50.37823346675429,49.241842677953926,49.870983993845364,54.14103400869311,52.835277140356276,50.89204814770627,51.213075037736964,51.647679911086406,52.3248065412762,51.02724904072106,50.07130712959441,49.29879088807186,48.738791564614566,48.56598049401411,57.05932442443207
Azerbaijan,23.140359557974598,21.659437526234782,24.220398593200468,22.49460991775134,25.301397631494726,26.0674870420648,31.439818621222308,34.50648839952812,31.958083127281288,33.73526362274874,36.63597837205904,37.779725688357225,36.37441962924052,38.67782272894447,35.40752999586264,35.536978589098354,33.078210058432795,32.36543909348442,40.24222216098542
Bahrain,31.882450790130296,29.274735830931803,26.051779935275082,24.916722185209863,24.11612532336878,23.353733170134642,23.64746043239888,25.63478260869565,32.39553165080679,31.358595194085026,32.338695727382806,33.20800980792807,28.41325473952525,36.49678800856531,34.98349834983499,32.178737441895336,33.56549880399606,32.68198706481354,35.70006127450981
Belarus,43.766185719570856,43.53345675747156,44.01238150512672,44.99108204518431,47.20595412396291,49.16890614113665,60.01341581575613,51.70666478992189,44.3186484425412,40.29292107404394,38.89193236185676,40.813192383962786,38.836421400116656,41.76954732510288,40.68289292146311,39.04187313235239,37.84417920209287,37.35341270076893,38.04543116864034
Belgium,49.90356992552744,51.04711576416868,49.318779058014954,51.86219709260508,48.789331725875066,48.56279774983339,50.77556845642545,54.68073991335544,53.878394007820674,55.30444080347263,56.47750372240564,56.116371411117896,55.59969628093021,53.719684570748406,53.11763953637072,52.03033367037412,52.23866321471038,51.84415258490881,59.18440601102225
Belize,32.493297587131366,32.45835436648157,28.747044917257675,28.385065227170486,27.7869529314616,29.34528448947779,27.985212569316083,29.647860658841346,29.35878962536023,29.31152010906612,27.619980411361407,30.625790139064474,31.64330450342976,35.34159700201786,34.47412353923205,33.983739837398375,32.60927152317881,33.64173734258545,39.54588457899717
Bhutan,42.23043275151825,37.39289856699218,33.4258820342656,39.29414613475392,36.05391239236241,35.72029562251279,38.76961189099918,42.30034998409164,45.389071071745995,40.00650533437418,38.989692573712695,35.983563524755674,31.787795602331077,30.11183673469388,33.224503509579215,32.82433230526938,33.48729933437745,25.88999196304156,33.12388971079643
Botswana,46.0150552122082,44.02607590143092,41.994008793544964,35.04601379420008,34.12816433808272,38.2657622938184,47.981107865352584,54.54495227834639,44.74741709666523,37.42185231781671,38.33615659702615,34.81358505677125,36.41339180907527,39.7006997293018,34.22678782128477,35.03993471229606,35.89063174557491,36.422764227642276,38.49522339542335
