Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,56.858408819464536,59.056807867218616,59.14523322941554,62.46537502535712,62.399808065299624,64.22685099932747,61.939364572491826,61.102780145197634,64.8932823516598,67.76714704769084,66.1359188605125,64.14205617918151,62.213176981269605,61.906165769312885,63.5079496903425,63.85338959586954,64.10166629145057,63.73893155409483,57.81998556468494
Australia,61.700463083663905,61.854619246119945,62.05090015252321,62.36638947372446,62.47052338409917,62.79308822508255,62.18577127085759,59.512302019188255,60.402990395774594,61.11083966376386,60.95994907947243,61.11346534420201,60.723900831791724,60.21579227761373,60.282939144482874,60.79500334567853,60.74074022178271,58.735526485273034,53.11401922118259
Austria,39.38254980983262,42.020052825281624,38.317019164379005,40.9749647939556,41.86870547340922,43.1711499692277,42.67382438363024,38.53334043409005,39.80880930612651,41.93892640742426,41.75467909346676,41.43106006174283,40.910987566012416,42.43351136368221,43.613509741885224,44.55135734369372,45.35977683207908,45.60739177192914,37.4715913745735
Azerbaijan,68.51697744408114,72.33395839055612,70.8429246062066,71.33026167689765,67.62979116722836,66.63336343823336,61.851961081379784,58.52237485991716,61.277154504187415,61.20502542076376,58.91894685448016,58.29503032868102,59.833672552659245,58.13507632937106,63.22613294333125,64.08148972588741,66.40670478645836,67.04602278034798,59.33926527099322
Belarus,44.101715706241,44.437492238510565,44.07603736223746,44.00024361867674,41.841224268122176,39.80721039858054,29.08337657987417,38.104534111287634,45.443127363254,48.46184878959466,51.27079355405525,51.17911422405953,53.60448738599322,51.14096897073102,52.39486424217657,54.42369194517713,56.327113672589604,57.59169009930075,57.396893592813555
Belgium,43.330417225644766,42.39248528652648,44.341903245142,41.96709301805511,45.189995559058104,45.58938254351014,43.71081238794991,39.78888686141771,40.738039750592016,39.62591090967205,38.57318172770327,38.941613904916785,39.600483328129,41.58539873834917,42.374971376691285,43.61792561637107,43.63223050914418,44.12532802356534,36.96681716755566
Belize,-185.4369189598232,-187.3235378114008,-182.27232970719197,-156.5817077775777,-146.42636573195006,-133.33722668555978,-88.71974414204104,-123.90254541796735,-129.6849167501485,-106.13915720399586,-99.63486229720846,-89.07861994558866,-76.33996432718536,-61.77895386832814,-57.46262220395701,-62.2186903962868,-63.42366804544688,-50.098092336388156,-47.63892336103109
Brunei Darussalam,-135.5091769274007,-138.89975068992467,-130.32479476593647,-117.83075138914563,-109.68603576983075,-88.41387474006204,-93.54371208867947,-100.70283422368718,-76.12743202508493,-47.24165658348955,-33.152576785852474,-14.466057143746571,-42.044776876280885,-25.979632950538544,-30.3745932094749,-24.033217579148243,0.6404950932776639,0.2556902326868273,-13.83384173048424
Bulgaria,55.00567522261145,54.487102471387374,55.49376039761428,56.4750903413449,58.59534023067666,58.391358017287274,59.08736311027921,58.23328802886718,56.55473202477307,59.053454333879316,58.55966993202538,55.609075044911464,54.098339462758695,53.88648237559407,58.34729258696528,59.56102839566915,57.94020254462653,56.82533097599068,55.17103951138097
Canada,57.43310687570736,57.643299654642256,58.84382197121168,59.53209240869528,59.46821409455156,59.66675163454315,59.48435157260059,54.84579132488258,55.27346636788268,56.81702078000277,57.5122555217153,58.50248301019663,60.11285222345758,58.45736920860809,57.72361033143088,58.073575348985564,57.89938971599462,57.935375142612564,45.62832980457121
Chile,72.26283120894085,73.10381104686043,74.6147718580089,75.34813008190477,76.92130016541073,76.41650262081752,74.19939793344717,71.18646171217287,72.77900699625667,73.40465264036892,73.31941575145763,73.13662036326318,72.41632153932872,71.4152006533184,71.12485511324219,71.06707836221368,71.1208497578027,70.45463378727553,67.68486693399934
Colombia,70.05799103738995,70.16372868776611,71.61726570946445,72.39701919491935,69.90187847915882,70.23485117310696,70.00340830988495,67.53556294579268,68.12907629006062,68.29444902063817,69.44782553520326,68.5793714429701,67.38154946642716,67.39659944985252,68.6998049883376,69.38474998625365,64.09566980900604,65.93796468604202,65.26671301133331
Costa Rica,58.288104398381456,59.48363258040123,60.71550640790932,61.5711904727403,63.91745714434725,65.97329123689232,66.4785944723273,66.12538360340494,65.87479340984328,67.28681762427168,67.53389786000449,66.95104210146575,67.43128486050824,67.75770884457675,67.9146007004433,67.545505299475,68.15045055261459,65.32545272080009,64.89301322460041
Croatia,33.938322599747075,35.49465659867141,36.77742662226059,38.936625487570645,40.12827971667006,41.478792550339755,42.029135390636604,38.57575356936482,38.14519671339172,37.723895828667416,38.161625580264804,38.4610719501843,37.81757653737584,38.06475971429895,39.13576444996378,41.42511087319112,41.19551139440879,40.68408566518085,33.22898932831227
Cyprus,-44.90642709679172,-41.12142456029163,-35.05776062710223,-32.88424203722878,-25.51086062210389,-20.625432508534455,-9.49577884228171,-16.355914827905522,-11.960533783499704,-14.879996559556538,-15.190427450300279,-19.829395783228534,-20.872666459139886,-21.90846995719488,-17.13602707627624,-11.283786820040115,-17.73210869708906,-8.477256714100067,-12.159606652160203
Czech Republic,49.81257105764774,45.369248857334874,52.131888437978816,51.97581385911623,52.94398679696894,54.27464627764069,53.921055616961375,50.35603306958814,51.02430878045217,51.365220980504326,49.84471244558029,51.86234213128924,52.10771458957228,53.026821555950164,55.11368044098061,55.999713985919186,54.70436620234577,54.564281056800276,48.71003186135365
Denmark,35.535990058763566,35.239273960020704,36.122560978369386,38.017868267431695,39.85104653034379,40.49339078632299,39.955254355145634,33.609058110369894,33.469966975938554,33.85937389897113,32.622029595740834,34.82731409593371,35.58872082860571,36.41964232120565,38.64222844353938,40.7212407684089,40.941683067672194,41.94995752269908,38.51518437816183
