Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.671
Albania,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100,101.287,103.297,105.393,106.88,108.613
Algeria,101.433,105.755,109.952,111.472,114.048,118.244,123.985,131.103,136.23,142.36,155.053,160.1,164.77,172.653,183.699,193.97,202.253,206.2,211.18
Andorra,77.375,79.741,82.056,84.951,88.081,90.423,94.353,93.204,94.798,97.215,98.642,99.108,99.013,97.891,97.477,100.001,101.285,102.036,102.298
Angola,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,352.664,431.227
Antigua and Barbuda,73.696,75.165,76.691,78.3,79.7,80.829,85.14,84.672,87.525,90.551,93.608,94.6,95.631,96.557,96.085,98.422,99.614,101.04,102.109
Armenia,113.22,118.522,126.686,127.407,131.1,136.881,149.358,154.609,167.213,179.744,184.224,194.75,200.631,208.046,205.083,207.522,212.681,215.749,218.396
Aruba,87.832,91.043,93.346,96.518,100,105.392,114.832,112.379,114.714,119.733,120.418,117.562,118.058,118.616,117.514,116.305,120.521,125.267,123.624
Australia,76.9,79,80.85,83,85.95,87.975,91.8,93.425,96.1,99.325,101,103.5,106.075,107.65,109.025,111.2,113.35,115.15,116.175
Austria,94.823,96.056,97.943,100,101.689,103.926,107.281,107.715,109.539,113.419,116.331,118.794,120.539,121.512,122.693,125.43,128.089,130,131.81
Azerbaijan,83.746,85.523,91.26,100,108.227,126.177,152.4,154.457,163.206,175.861,177.631,181.936,184.57,192.042,215.929,243.664,249.352,256.115,263.348
The Bahamas,77.883,80.731,81.668,83.153,84.781,86.822,90.671,92.181,93.676,96.546,98.392,98.831,100,101.878,101.542,103.065,105.402,108.028,108.07
Bahrain,68.918,70.075,71.651,73.526,75.027,77.466,80.204,82.438,84.055,83.773,86.082,88.924,91.277,92.964,95.557,96.881,98.907,99.902,97.58
Bangladesh,82.071,85.809,90.736,100,106.77,116.495,126.863,136.485,145.79,161.692,176.064,187.996,201.812,214.739,227.444,239.817,253.685,267.573,282.685
Barbados,98.825,100.383,101.817,107.992,115.883,120.558,130.333,135.083,142.95,156.433,163.525,166.492,169.433,167.55,170.083,177.583,184.133,191.683,197.208
Belarus,59.772,76.746,90.632,100,106.992,116.01,133.212,150.464,162.114,248.403,395.503,467.89,552.612,627.34,701.547,743.862,780.069,823.751,869.354
Belgium,77.973,79.155,80.625,82.671,84.595,86.132,89.998,89.993,92.093,95.18,97.679,98.898,99.383,99.999,101.769,104.033,106.437,107.766,108.227
Belize,75.777,77.763,80.149,83.075,86.598,88.605,94.271,93.23,94.086,95.644,96.837,97.334,98.528,97.633,98.329,99.424,99.723,99.922,100
Benin,71.868,73.133,74.001,77.461,82.384,83.367,89.008,89.363,91.31,93.808,100.134,101.103,100.009,100.219,99.423,101.182,102.041,101.089,104.171
Bhutan,94.428,96.762,100,104.82,109.988,115.762,123.055,131.829,138.196,150.012,165.193,178.59,195.735,208.79,215.639,224.933,233.165,239.741,249.69
Bolivia,45.64,47.163,49.256,51.916,54.148,57.752,65.842,68.044,69.747,76.64,80.102,84.697,89.58,93.218,96.596,99.323,101.579,103.447,104.422
Bosnia and Herzegovina,78.204,78.632,78.853,81.678,86.681,87.982,94.516,94.156,96.155,99.991,102.044,101.949,101.034,100,98.416,99.213,100.619,101.182,100.117
Botswana,115.119,125.692,134.475,146.054,162.928,174.459,196.481,212.412,227.174,246.422,264.996,280.583,292.97,301.918,310.401,320.632,331.023,340.109,346.538
