Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.884,2.883,2.881,2.878
Armenia,3.05,3.04,3.03,3.01,3,2.99,2.98,2.97,2.966,2.968,2.97,2.98,2.985,2.99,2.993,2.979,2.969,2.963,2.962
Australia,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.39,24.773,25.171,25.558,25.684
Austria,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815,8.885,8.859,8.901
Azerbaijan,8.191,8.269,8.349,8.447,8.553,8.666,8.78,8.922,8.998,9.111,9.235,9.357,9.477,9.593,9.706,9.81,9.898,9.982,10.067
Bahrain,0.711,0.765,0.824,0.889,0.96,1.039,1.107,1.178,1.235,1.195,1.209,1.253,1.315,1.37,1.424,1.501,1.503,1.484,1.472
Bangladesh,132.478,134.792,136.986,139.036,140.921,142.66,144.304,145.925,147.575,149.274,151.008,152.765,154.52,156.256,157.971,159.671,161.356,163.046,164.689
Belarus,9.9,9.831,9.763,9.697,9.63,9.579,9.542,9.514,9.496,9.472,9.451,9.442,9.444,9.453,9.469,9.47,9.448,9.429,9.41
Belgium,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.076,11.138,11.181,11.237,11.311,11.352,11.399,11.456,11.522
Belize,0.263,0.269,0.276,0.284,0.291,0.299,0.307,0.315,0.322,0.332,0.341,0.35,0.359,0.368,0.378,0.388,0.398,0.408,0.419
Bhutan,0.591,0.602,0.613,0.624,0.635,0.643,0.651,0.659,0.667,0.675,0.683,0.692,0.7,0.713,0.722,0.731,0.735,0.738,0.745
Botswana,1.705,1.734,1.766,1.799,1.836,1.875,1.916,1.953,1.987,2.015,2.04,2.063,2.089,2.121,2.16,2.205,2.254,2.304,2.352
Brunei Darussalam,0.344,0.35,0.36,0.359,0.365,0.37,0.375,0.38,0.387,0.393,0.399,0.403,0.408,0.412,0.417,0.43,0.442,0.442,0.443
Bulgaria,7.846,7.801,7.761,7.719,7.679,7.64,7.607,7.564,7.505,7.327,7.285,7.246,7.202,7.154,7.102,7.05,7,6.951,6.917
Canada,31.309,31.603,31.901,32.204,32.529,32.849,33.199,33.581,33.958,34.298,34.665,35.034,35.392,35.678,36.052,36.495,37.003,37.54,37.995
Chile,15.692,15.857,16.022,16.183,16.348,16.518,16.698,16.881,17.064,17.254,17.443,17.612,17.788,17.971,18.167,18.419,18.751,19.107,19.458
China,1284.53,1292.27,1299.88,1307.56,1314.48,1321.29,1328.02,1334.5,1340.91,1349.16,1359.22,1367.26,1376.46,1383.26,1392.32,1400.11,1405.41,1410.08,1412.12
Colombia,40.156,40.661,41.166,41.672,42.17,42.659,43.134,43.609,44.086,44.553,45.002,45.435,45.866,46.314,46.83,47.419,48.258,49.396,50.372
Democratic Republic of the Congo,50.971,52.602,54.315,56.09,57.927,59.835,61.809,63.845,65.939,68.087,70.291,72.553,74.877,77.267,79.801,82.417,85.12,87.911,90.794
Republic of Congo,3.002,3.077,3.154,3.233,3.313,3.396,3.481,3.568,3.657,3.749,3.843,3.939,4.037,4.138,4.241,4.347,4.456,4.568,4.682
Costa Rica,4.022,4.086,4.152,4.215,4.279,4.34,4.404,4.469,4.554,4.613,4.673,4.733,4.793,4.851,4.909,4.966,5.022,5.075,5.128
Croatia,4.302,4.303,4.305,4.31,4.311,4.31,4.31,4.305,4.295,4.281,4.268,4.256,4.238,4.204,4.174,4.125,4.088,4.065,4.048
Cyprus,0.706,0.714,0.723,0.733,0.744,0.758,0.776,0.797,0.819,0.84,0.862,0.866,0.858,0.847,0.848,0.855,0.864,0.876,0.888
Czech Republic,10.201,10.193,10.195,10.199,10.224,10.254,10.343,10.426,10.462,10.487,10.505,10.516,10.512,10.538,10.554,10.579,10.61,10.65,10.694
Denmark,5.368,5.384,5.398,5.411,5.427,5.447,5.476,5.511,5.535,5.561,5.581,5.603,5.627,5.66,5.707,5.749,5.781,5.806,5.823
Djibouti,0.747,0.76,0.772,0.783,0.795,0.805,0.816,0.828,0.84,0.854,0.868,0.883,0.899,0.914,0.929,0.944,0.959,0.974,0.988
Ecuador,13.094,13.32,13.552,13.721,13.965,14.215,14.473,14.738,15.012,15.266,15.521,15.775,16.027,16.279,16.529,16.777,17.023,17.268,17.511
Egypt,66.6,68,69.3,70.7,72.2,73.6,75.2,76.9,78.7,80.5,82.5,84.6,86.8,89,91,95.2,97.1,98.9,100.6
Estonia,1.379,1.371,1.363,1.355,1.347,1.341,1.337,1.335,1.331,1.327,1.323,1.318,1.315,1.315,1.316,1.317,1.322,1.327,1.329
Ethiopia,67.22,71.342,73.197,75.1,77.053,79.056,80.321,81.606,82.912,84.238,85.586,86.955,88.347,89.76,91.196,92.656,94.138,95.644,97.175
Finland,5.195,5.206,5.22,5.237,5.256,5.277,5.3,5.326,5.351,5.375,5.401,5.427,5.451,5.472,5.487,5.503,5.513,5.518,5.525
France,59.686,60.102,60.505,60.963,61.4,61.795,62.135,62.466,62.765,63.07,63.376,63.698,64.028,64.301,64.469,64.639,64.844,65.097,65.284
