Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,12.235,21.618,31.209,44.926,65.518,81.163,88.162,117.745,154.612,177.821,260.571,271.903,280.187,301.356,344.327,347.829,405.873,395.923,397.564
Albania,154.595,167.224,184.355,204.533,226.283,252.291,290.078,298.487,320.653,330.449,330.384,323.709,366.569,379.231,407.021,430.397,449.859,460.349,425.906
Algeria,1603.284,1947.437,2215.165,3080.695,3639.905,3725.646,5253.052,3667.483,4462.327,5838.342,6339.339,5957.546,5738.068,5104.736,5011.581,6047.885,6826.881,6601.576,5640.941
Andorra,0.484,0.543,0.595,0.591,0.653,0.714,0.731,0.697,0.74,0.768,0.8,0.848,0.831,0.878,1.006,1.008,1.049,1.071,1.022
Angola,190.836,394.898,609.686,1085.844,1685.031,2124.712,3217.433,2069.733,3295.49,4776.149,5053.803,4848.609,4402.641,3366.744,2899.97,3546.27,5859.955,6530.16,7052.762
Antigua and Barbuda,0.424,0.433,0.5,0.533,0.683,0.757,0.778,0.609,0.691,0.625,0.647,0.604,0.68,0.87,0.951,0.822,0.859,0.849,0.755
Argentina,69.698,98.878,130.964,161.749,202.363,271.853,357.705,408.003,531.163,700.692,891.704,1150.114,1584.387,2105.859,2868.941,3670.115,4940.7,7261.83,9197.044
Armenia,228.132,247.215,294.907,401.359,479.444,632.547,730.753,655.569,734.293,834.53,892.603,1011.525,1064.617,1084.076,1085.186,1181.989,1341.689,1565.489,1560.655
Aruba,0.755,0.989,0.836,0.909,0.985,1.034,1.365,1.109,1.184,0.981,1.021,1.143,1.118,1.267,1.264,1.216,1.297,1.42,1.071
Australia,274.664,298.528,323.386,349.845,377.594,405.376,419.753,419.791,434.374,466.635,500.983,528.104,547.558,566.897,593.664,633.422,676.76,690.743,709.497
Austria,114.651,112.556,118.424,123.515,128.059,135.91,142.033,140.523,143.161,149.838,156.216,160.976,165.226,172.069,173.571,179.077,188.506,195.483,184.915
Azerbaijan,2.578,1.663,2.218,3.161,4.867,8.056,19.52,14.37,19.444,23.226,22.085,22.937,23.084,18.416,20.699,24.076,30.925,33.966,24.473
The Bahamas,0.857,0.902,0.944,1.105,1.28,1.336,1.429,1.316,1.291,1.432,1.426,1.353,1.449,1.698,1.928,2.06,2.042,2.426,2.087
Bahrain,1.027,1.146,1.301,1.671,1.841,2.038,2.698,1.729,2.196,2.842,3.046,2.977,3.133,2.126,2.127,2.421,3.094,3.447,2.329
Barbados,1.732,1.862,1.918,2.162,2.237,2.472,2.597,2.324,2.279,2.55,2.457,2.334,2.407,2.458,2.754,2.864,2.994,3.156,2.702
Belarus,0.972,1.391,1.909,2.575,3.238,4.154,6.588,6.319,6.841,11.518,21.495,26.714,31.368,34.891,37.053,40.93,48.499,51.553,52.664
Belgium,136.245,138.303,145.68,152.374,159.418,167.1,174.746,170.637,180.81,191.648,201.425,208.175,211.755,213.793,218.288,228.517,236.441,238.776,228.978
Belize,0.472,0.423,0.481,0.522,0.601,0.746,0.801,0.699,0.749,0.821,0.837,0.92,0.988,1,1.039,1.096,1.169,1.173,0.967
Benin,347.825,391.285,413.098,436.847,472.553,626.828,633.344,675.817,651.1,692.714,797.519,836.438,824.771,848.316,780.323,1001.657,1075.823,1185.703,1294.296
Bhutan,8.848,7.054,10.445,10.501,13.452,16.083,18.317,23.443,30.991,28.172,32.646,30.656,37.819,36.231,42.039,42.673,52.113,42.033,54.604
Bolivia,13.89,14.928,18.661,23.829,31.473,35.428,46.953,43.619,45.727,60.155,70.735,82.809,90.958,85.936,76.659,79.761,80.596,81.512,63.935
Bosnia and Herzegovina,6.215,6.899,7.265,7.991,9.289,10.231,11.371,10.82,11.319,11.451,11.588,11.564,11.849,12.293,12.65,13.284,14.274,14.774,14.139
Botswana,14.337,16.209,17.97,23.021,27.669,28.662,29.589,29.05,31.244,38.547,41.709,49.006,55.958,47.474,57.453,56.468,53.538,50.267,46.263
Brazil,513.582,615.282,690.98,786.261,858.39,948.881,1115.747,1130.331,1401.602,1536.486,1671.116,1838.929,1877.916,1693.41,1922.207,2005.551,2148.436,2326.802,2205.548
Brunei Darussalam,4.268,4.93,6.151,7.921,9.647,6.636,14.31,6.65,8.184,12.896,11.134,10.551,8.159,4.294,2.783,4.385,5.228,4.187,2.892
Bulgaria,11.74,13.104,14.916,17.03,19.15,22.985,26.359,24.088,23.054,24.435,26.516,27.735,28.129,30.951,32.671,33.733,37.865,42.013,42.028
Burkina Faso,377.782,434.602,461.796,496.719,1239.049,650.547,630.752,771.524,880.219,1047.287,1276.51,1441.746,1321.15,1277.975,1410.7,1583.575,1745.866,1881.97,1975.34
Burundi,143.55,184.571,255.338,272.903,347.777,534.876,734.994,717.349,930.559,1091.036,1135.968,1253.181,1026.556,761.668,757.234,1046.94,1048.226,1243.997,1320.167
Cabo Verde,22.755,21.372,26.11,26.632,30.743,34.838,38.658,37.522,39.679,37.916,36.688,37.716,35.327,42.678,44.107,49.505,51.857,57.389,43.751
Cameroon,1323.875,1271,1285.921,1589.928,4448.106,1985.483,2214.088,1925.928,1940.041,2250.155,2425.814,2607.609,2870.052,3013.213,2866.166,3039.892,3451.414,3584.484,3145.324
Canada,479.387,503.765,532.988,569.684,605.951,636.408,645.58,621.296,638.536,678.872,701.676,731.719,768.941,795.312,816.292,863.598,917.124,939.735,919.047
Central African Republic,105.982,63.756,78.454,88.031,176.495,117.04,134.71,150.267,168.694,138.134,190.312,62.358,131.742,134.1,142.46,154.021,210.533,244.754,298.587
Chad,197.34,247.36,273.778,402.537,628.676,814.26,1042.561,655.001,1068.841,1421.762,1542.084,1331.033,1230.115,903.787,751.624,857.615,936.602,912.847,1304.19
Chile,10669.317,11533.101,13809.474,16991.774,21405.327,24578.811,24144.095,19916.743,25593.847,29542.41,30897.002,31090.822,33076.348,36387.2,38319.772,41000.515,45717.15,46471.544,44245.631
China,1890.364,2171.525,2639.647,3164.929,3776.02,4925.778,7156.66,8310.115,10103.313,13081.104,15016.042,16535.608,18237.211,20076.7,21576.953,24232.569,26551.455,27790.093,26342.871
Colombia,60012.487,68490.104,77422.845,87424.868,104744.622,117164.066,135677.833,141645.349,147154.37,174814.496,194935.842,206927.147,225187.046,223359.387,239437.784,246916.09,296240.914,311629.082,265500.866
Comoros,26.929,25.482,26.434,30.509,29.534,33.945,41.853,44.776,58.869,50.907,65.433,104.672,60.45,92.767,60.256,87.986,87.492,82.714,95.807
Democratic Republic of the Congo,148.029,179.136,288.669,531.043,684.423,881.183,1238.898,2022.768,2914.771,3088.669,4174.219,4394.665,6137.373,5907.71,5245.601,6537.773,8483.906,8999.51,8072.739
Republic of Congo,575.414,613.5,745.8,1245.7,1796,1579.249,2497.256,1334.761,2505.655,3241.55,3422.937,3507.33,3345.935,1650.778,1571.837,1445.043,1888.1,2002.767,1320.48
Costa Rica,808.802,973.273,1107.685,1321.385,1638.353,2104.701,2490.031,2363.266,2591.289,2869.474,3118.254,3379.744,3625.191,3993.816,4379.463,4560.065,4766.509,5675.661,5077.367
Ivory Coast,1482.246,1403.528,1507.49,1566,1727.533,1947.98,2156.22,2120.8,2236.6,1725.86,2621.36,3039.509,3293.456,3916.812,4188.888,4523.428,4764.066,5158.525,5289.187
Croatia,100.127,105.879,110.105,116.803,127.696,139.902,149.175,141.664,138.367,136.232,141.449,141.731,143.613,153.509,163.317,169.477,178.484,190.689,178.304
Cyprus,3.954,4.429,4.84,5.553,6.094,7.143,7.43,6.808,7.203,7.233,7.085,6.664,7.008,7.094,7.138,7.787,8.472,9.129,8.492
Czech Republic,1030.83,1193.227,1230.282,1292.661,1388.002,1535.863,1572.85,1540.052,1576.305,1644.725,1667.376,1713.727,1762.059,1909.833,1940.949,2068.905,2245.866,2395.495,2371.104
Denmark,750.249,768.751,829.363,891.269,922.162,949.616,965.312,925.448,977.23,1004.2,1032.103,1053.309,1116.627,1083.302,1103.915,1147.703,1156.148,1242.025,1240.524
Djibouti,28.023,34.014,38.298,44.298,46.287,52.251,72.311,68.723,70.188,74.516,82.572,82,87.326,114.222,112.771,116.138,123.93,128.931,132.58
Dominica,0.224,0.297,0.292,0.325,0.357,0.426,0.453,0.472,0.484,0.411,0.409,0.42,0.389,0.66,0.884,0.737,0.704,0.597,0.845
Dominican Republic,67.009,80.632,127.577,159.706,191.955,238.86,249.843,229.702,259.204,285.047,323.479,372.489,416.823,533.683,483.73,531.482,601.12,656.783,632.252
Ecuador,6.361,6.91,8.176,9.146,11.263,13.631,22.108,18.378,23.178,31.19,34.57,37.26,39.032,33.322,30.314,33.426,38.29,36.389,29.408
Egypt,96.238,109.348,124.285,133.756,176.571,206.452,250.834,288.544,303.36,302.009,348.864,403.589,519.447,538.4,549.068,755.11,917.193,1080.164,1121.422
El Salvador,2.154,2.436,2.572,2.786,3.199,3.488,3.732,3.399,3.805,4.22,5.042,5.286,5.33,5.502,5.892,6.304,6.39,6.488,6.043
Equatorial Guinea,414.482,471.162,773.525,1410.189,2103.73,2308.526,3051.786,2368.087,2150.931,2851.012,3196.075,2696.072,2585.363,2063.735,1125.875,1238.347,1446.508,1239.983,819.733
