Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.158,11.705,11.157
Albania,-10.179,-7.695,-5.849,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.754,-7.571,-8.677
Algeria,7.68,12.979,13.027,20.526,24.738,22.671,20.146,0.299,7.541,9.9,5.879,0.398,-4.413,-16.442,-16.542,-13.12,-9.645,-9.911,-12.677
Angola,-0.982,-4.04,2.892,13.897,20.408,16.212,8.126,-10.769,8.957,11.705,10.818,6.107,-2.571,-8.84,-3.051,-0.519,7.304,6.079,1.497
Argentina,7.666,5.597,1.798,2.473,2.791,2.1,1.492,2.167,-0.382,-1.012,-0.369,-2.146,-1.628,-2.743,-2.713,-4.838,-5.165,-0.821,0.852
Armenia,-6.219,-6.181,-2.204,-2.529,-2.395,-7.357,-14.225,-16.484,-13.622,-10.44,-9.962,-7.297,-7.75,-2.685,-1.013,-1.521,-7.03,-7.359,-3.787
Aruba,-17.296,-8.195,12.15,4.901,12.699,9.711,-0.016,6.935,-18.737,-10.021,3.599,-11.957,-4.795,3.882,4.557,0.959,-0.542,2.507,-13.056
Australia,-3.795,-5.325,-6.286,-6.001,-5.919,-6.743,-4.831,-4.518,-3.662,-2.993,-4.356,-3.364,-3.041,-4.637,-3.277,-2.573,-2.14,0.606,2.595
Austria,2.102,1.548,2.076,2.258,3.295,3.802,4.49,2.596,2.855,1.631,1.483,1.943,2.474,1.725,2.724,1.374,0.904,2.092,1.899
Azerbaijan,-12.329,-27.772,-29.824,1.261,17.632,27.256,33.593,22.969,28.423,25.983,21.405,16.61,13.863,-0.438,-3.604,4.071,12.844,9.061,-0.533
The Bahamas,0.084,-0.173,1.606,-3.098,-10.141,-8.987,-8.282,-8.095,-7.884,-10.935,-14.289,-14.447,-19.677,-12.433,-12.28,-13.736,-9.342,-2.728,-23.519
Bahrain,-0.579,1.775,3.608,9.245,11.828,13.381,8.778,2.442,3,8.77,8.384,7.406,4.562,-2.422,-4.631,-4.088,-6.44,-2.055,-9.344
Bangladesh,0.282,0.293,0.268,-0.802,0.796,1.201,0.303,2.035,2.811,-1.731,-0.335,1.592,0.813,1.79,1.925,-0.533,-3.491,-1.484,-1.682
Belarus,-2.158,-2.476,-4.981,1.468,-3.631,-6.435,-7.896,-12.059,-14.471,-8.233,-2.836,-10.023,-6.64,-3.251,-3.379,-1.74,0.038,-1.934,-0.423
Belgium,4.501,3.398,3.098,1.995,1.85,1.496,-1.006,1.657,1.624,-1.94,-0.081,0.955,0.772,1.383,0.552,0.698,-0.822,0.16,0.84
Belize,-17.733,-18.601,-14.648,-13.606,-2.096,-4.06,-10.711,-6.273,-3.295,-1.36,-2.162,-4.589,-8.104,-10.075,-9.096,-8.566,-7.989,-9.492,-8.067
Benin,-3.742,-6.206,-4.669,-3.444,-3.088,-6.546,-5.499,-6.69,-5.567,-4.833,-5.178,-5.379,-6.668,-5.964,-2.997,-4.181,-4.553,-4,-1.746
Bhutan,-16.794,-24.06,-18.727,-31.014,-4.668,8.431,-8.819,-6.418,-22.777,-30.485,-21.926,-25.634,-27.108,-27.9,-30.215,-23.575,-18.405,-20.486,-12.442
Bolivia,-4.42,1.042,3.694,6.502,11.436,12.04,11.867,4.658,4.416,2.226,7.221,3.413,1.716,-5.825,-5.579,-5.024,-4.251,-3.343,-0.382
Bosnia and Herzegovina,-17.742,-19.241,-16.141,-16.867,-8.01,-9.464,-14.126,-6.428,-6.005,-9.487,-8.636,-5.333,-7.365,-5.096,-4.756,-4.844,-3.279,-2.799,-3.768
Botswana,4.881,9.597,3.592,16.247,19.665,15.657,1.393,-6.406,-5.888,-0.873,-5.902,4.531,11.075,2.226,7.973,5.586,0.393,-7.016,-10.848
Brazil,-1.597,0.643,1.657,1.553,1.182,0.03,-1.824,-1.583,-3.587,-2.926,-3.427,-3.236,-4.14,-3.044,-1.362,-1.068,-2.684,-3.471,-1.691
Brunei Darussalam,36.303,40.015,38.171,42.734,45.491,43.601,43.657,32.247,36.595,34.709,29.838,20.881,31.927,16.682,12.9,16.367,6.907,6.643,4.518
Burkina Faso,-8.281,-7.766,-9.758,-10.324,-8.308,-7.353,-10.232,-4.037,-1.797,-1.328,-1.292,-10.008,-7.165,-7.568,-6.08,-5.031,-4.139,-3.276,-0.149
Cabo Verde,-10.182,-10.181,-12.951,-3.119,-4.837,-12.943,-13.714,-14.629,-12.427,-16.287,-12.593,-4.87,-9.082,-3.18,-3.828,-7.844,-5.223,-0.399,-15.895
Cambodia,-2.266,-3.56,-2.17,-3.824,-0.646,-1.652,-6.62,-9.915,-8.751,-8.031,-8.623,-8.462,-8.556,-8.739,-8.479,-7.909,-11.769,-15.014,-12.134
Cameroon,-3.552,-3.75,-2.213,-2.537,0.925,1.195,-1.629,-4.025,-3.113,-2.446,-3.168,-3.345,-3.852,-3.643,-3.069,-2.632,-3.524,-4.273,-3.713
Canada,1.735,1.231,2.345,1.927,1.445,0.823,0.147,-2.909,-3.562,-2.712,-3.534,-3.141,-2.32,-3.495,-3.088,-2.803,-2.377,-2.035,-1.786
Chile,-0.812,-0.192,2.97,1.677,4.514,4.252,-3.815,1.891,1.429,-2.72,-4.39,-4.9,-3.592,-2.795,-2.637,-2.782,-4.551,-5.191,-1.892
China,2.417,2.598,3.536,5.781,8.418,9.933,9.188,4.78,3.941,1.817,2.522,1.54,2.243,2.637,1.704,1.538,0.174,0.718,1.674
Colombia,-1.325,-0.97,-0.666,-1.338,-1.849,-2.982,-2.679,-1.907,-2.996,-2.906,-3.14,-3.236,-5.198,-6.372,-4.452,-3.182,-4.202,-4.584,-3.405
